volume,plate,kind,ku_id,ku_name,ku_scientific,scientific,common,note
I,4,lumped,ku-gould:17718,Barbary Falcon,Falco pelegrinoides,Falco peregrinus,Peregrine Falcon,eBird 2025 keeps the Barbary Falcon within the Peregrine
I,9,open,ku-gould:17698,Sulawesi Serpent Eagle,Spilornis rufipectus,Spilornis cheela,Crested Serpent-Eagle,"a form the survey assigned; KU assigns it elsewhere, so the row is low"
I,15,old name,ku-gould:17674,Collared Owlet,Glaucidium brodiei,Taenioptynx brodiei,Collared Owlet,an older genus or spelling for the same species
I,17,subspecies,ku-gould:17666,Spotted Owlet,Athene brama indica,Tyto alba,Western Barn Owl,KU names the race; the row gives its species
I,20,open,ku-gould:17654,African Palm Swift,Cypsiurus parvus,Cypsiurus balasiensis,Asian Palm Swift,"a form the survey assigned; KU assigns it elsewhere, so the row is low"
I,27,subspecies,ku-gould:17626,European Striated Swallow,Hirundo (Cecropis) daurica rufula,Cecropis daurica,Eastern Red-rumped Swallow,KU names the race; the row gives its species
I,28,subspecies,ku-gould:17622,European Striated Swallow,Hirundo (Cecropis) daurica,Cecropis daurica,Eastern Red-rumped Swallow,KU names the race; the row gives its species
I,29,subspecies,ku-gould:17618,Indian Striated Swallow,Hirundo (Cecropis) daurica erythropygia,Cecropis daurica,Eastern Red-rumped Swallow,KU names the race; the row gives its species
I,33,old name,ku-gould:17602,"Streak-throated Swallow, Indian Cliff Swallow",Hirundo fluvicola,Petrochelidon fluvicola,Streak-throated Swallow,an older genus or spelling for the same species
I,35,printed name,ku-gould:17594,Blue-throated Bee-eater,Merops viridis,Merops orientalis,Asian Green Bee-eater,KU follows the printed Merops viridis; the plate shows the Green Bee-eater
I,38,error,ku-gould:17582,Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctyornis amictus,Red-bearded Bee-eater,"KU names another species; the caption, the text and the bird agree with the row"
I,44,subspecies,ku-gould:17558,White-throated Kingfisher,Halcyon smyrnensis gularis,Halcyon gularis,Brown-breasted Kingfisher,KU names the race; the row gives its species
I,47,open,ku-gould:17546,Javan Kingfisher,Halcyon cyanoventris,Todiramphus chloris,Collared Kingfisher,"a form the survey assigned; KU assigns it elsewhere, so the row is low"
I,67,error,ku-gould:17466,Masked Trogon,Trogon personatus,Harpactes duvaucelii,Scarlet-rumped Trogon,KU names a New World trogon of the same epithet
I,68,subspecies,ku-gould:17462,"Collared Trogon, Trogón de collar",Trogon collaris puella,Harpactes duvaucelii,Scarlet-rumped Trogon,KU names the race; the row gives its species
I,69,subspecies,ku-gould:17458,"Violaceous Trogon, Trogón violáceo",Trogon violaceus ramonianus,Harpactes erythrocephalus,Red-headed Trogon,KU names the race; the row gives its species
I,70,error,ku-gould:17454,"Black-headed Trogon, Trogón cabeza negra",Trogon melanocephalus,Harpactes diardii,Diard's Trogon,KU names a New World trogon of the same epithet
I,71,error,ku-gould:17450,"Amazonian White-tailed Trogon, White-tailed Trogon",Trogon viridis,Harpactes oreskios,Orange-breasted Trogon,KU names a New World trogon of the same epithet
