volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
I,1,Black Vulture,Otogyps calvus,OTOCYPS CALVUS.,BirdsAsiaJohnGoIGoul,115342,28,37485686,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0028.jp2,https://www.biodiversitylibrary.org/page/37485686,sheet-BirdsAsiaJohnGoIGoul-0028.jpg,crop-BirdsAsiaJohnGoIGoul-0028.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,2,Bengal Vulture,Gyps Bengalensis,GYPS BENGALENSIS.,BirdsAsiaJohnGoIGoul,115342,32,37485682,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0032.jp2,https://www.biodiversitylibrary.org/page/37485682,sheet-BirdsAsiaJohnGoIGoul-0032.jpg,crop-BirdsAsiaJohnGoIGoul-0032.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,3,Shaheen Falcon,Falco Peregrinator,FALCO PEREGRINATOR.,BirdsAsiaJohnGoIGoul,115342,36,37485678,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0036.jp2,https://www.biodiversitylibrary.org/page/37485678,sheet-BirdsAsiaJohnGoIGoul-0036.jpg,crop-BirdsAsiaJohnGoIGoul-0036.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,4,Red-naped Falcon,Falco Babylonicus,"FALCO BABYLONICUS, Gurney",BirdsAsiaJohnGoIGoul,115342,40,37485644,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0040.jp2,https://www.biodiversitylibrary.org/page/37485644,sheet-BirdsAsiaJohnGoIGoul-0040.jpg,crop-BirdsAsiaJohnGoIGoul-0040.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,5,Saker Falcon,Falco sacer,FALCO SACER.,BirdsAsiaJohnGoIGoul,115342,44,37485648,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0044.jp2,https://www.biodiversitylibrary.org/page/37485648,sheet-BirdsAsiaJohnGoIGoul-0044.jpg,crop-BirdsAsiaJohnGoIGoul-0044.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,6,Lanner Falcon,Falco lamas,FALCO LANARIUS .,BirdsAsiaJohnGoIGoul,115342,48,37485652,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0048.jp2,https://www.biodiversitylibrary.org/page/37485652,sheet-BirdsAsiaJohnGoIGoul-0048.jpg,crop-BirdsAsiaJohnGoIGoul-0048.jpg,"the caption reads Falco lanarius; the List's Latin is Falco lamas; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,7,Jugger Falcon,Falco ducer,FALCO JUCGER: Gray.,BirdsAsiaJohnGoIGoul,115342,52,37485656,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0052.jp2,https://www.biodiversitylibrary.org/page/37485656,sheet-BirdsAsiaJohnGoIGoul-0052.jpg,crop-BirdsAsiaJohnGoIGoul-0052.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,8,White-winged Red-footed Kestrel,Erythropus amurensis,ERYTHROPUS AMURENSIS.,BirdsAsiaJohnGoIGoul,115342,56,37485660,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0056.jp2,https://www.biodiversitylibrary.org/page/37485660,sheet-BirdsAsiaJohnGoIGoul-0056.jpg,crop-BirdsAsiaJohnGoIGoul-0056.jpg,
I,9,Rufous-breasted Spilornis,Spilornis rufipectus,"SPILORNIS RUFIPECTUS, Loudd",BirdsAsiaJohnGoIGoul,115342,60,37485664,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0060.jp2,https://www.biodiversitylibrary.org/page/37485664,sheet-BirdsAsiaJohnGoIGoul-0060.jpg,crop-BirdsAsiaJohnGoIGoul-0060.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,10,Black-and-white Crested Eagle,Spizaetus alboniger,"SPIZAETUS ALBONIGER, Blyth.",BirdsAsiaJohnGoIGoul,115342,64,37485668,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0064.jp2,https://www.biodiversitylibrary.org/page/37485668,sheet-BirdsAsiaJohnGoIGoul-0064.jpg,crop-BirdsAsiaJohnGoIGoul-0064.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,11,Govinda Kite,Milvus Govinda,"MILVUS GOVINDA, Sykes.",BirdsAsiaJohnGoIGoul,115342,68,37485672,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0068.jp2,https://www.biodiversitylibrary.org/page/37485672,sheet-BirdsAsiaJohnGoIGoul-0068.jpg,crop-BirdsAsiaJohnGoIGoul-0068.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,12,Celebean Elanus,Elanus hypoleucus,"ELANUS HYPOLEUCUS, Gould",BirdsAsiaJohnGoIGoul,115342,72,37485714,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoIGoul/BirdsAsiaJohnGoIGoul_0072.jp2,https://www.biodiversitylibrary.org/page/37485714,sheet-BirdsAsiaJohnGoIGoul-0072.jpg,crop-BirdsAsiaJohnGoIGoul-0072.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
