volume,plate,ku_id,ku_english,ku_sci,printed
I,1,ku-gould:17730,Red-headed Vulture,Sarcogyps calvus,Otogyps calvus -- Black vulture
I,2,ku-gould:17726,White-rumped Vulture,Gyps bengalensis,Bengal vulture
I,3,ku-gould:17722,"Peregrine Falcon ,faucon pélerin, Halcón peregrino,",Falco peregrinus,Falco peregrinator -- Shaheen falcon
I,4,ku-gould:17718,Barbary Falcon,Falco pelegrinoides,Falco babylonicus -- Red-naped falcon
I,5,ku-gould:17714,Saker Falcon,Falco cherrug,Falco sacer
I,6,ku-gould:17710,Lanner Falcon,Falco biarmicus,Falco lanarius
I,7,ku-gould:17706,Laggar Falcon,Falco jugger,Jugger falcon
I,8,ku-gould:17702,Amur Falcon,Falco amurensis,Erythropus amurensis -- White-winged red-footed kestrel
I,9,ku-gould:17698,Sulawesi Serpent Eagle,Spilornis rufipectus,Rufous-breasted spilornis
I,10,ku-gould:17694,Blyth's Hawk-Eagle,Spizaetus alboniger,Black-and-white crested eagle
I,11,ku-gould:17690,Black Kite,Milvus migrans,Milvus govinda -- Govinda kite
I,12,ku-gould:17686,"Black-shouldered Kite, Black-winged Kite",Elanus caeruleus,Elanus hypoleucus -- Celebean elanus
I,13,ku-gould:17682,"Oriental Scops Owl, Oriental Scops-Owl",Otus sunia,Scops pennatus -- Indian scops owl
I,14,ku-gould:17678,Oriental Bay Owl,Phodilus badius,Bay owl
I,15,ku-gould:17674,Collared Owlet,Glaucidium brodiei,Athene brodiei -- Brodie's owlet
I,16,ku-gould:17670,Mottled Wood Owl,Strix ocellata,Syrnium ocellatum -- Speckled wood-owl
I,17,ku-gould:17666,Spotted Owlet,Athene brama indica,Strix indica -- Indian screech owl
I,18,ku-gould:17662,Grass Owl,Tyto capensis,Strix candida -- Grass-owl
I,19,ku-gould:17658,Sykes's Nightjar,Caprimulgus mahrattensis,Mahratta nightjar
I,20,ku-gould:17654,African Palm Swift,Cypsiurus parvus,Cypselus infumatus -- Palm roof-swift
I,21,ku-gould:17650,Crested Treeswift,Hemiprocne coronata,Dendrochelidon coronatus -- Crested tree-swift
I,22,ku-gould:17646,Grey-rumped Treeswift,Hemiprocne longipennis,Dendrochelidon klecho -- Klecho tree-swfit
I,23,ku-gould:17642,Grey-rumped Treeswift,Hemiprocne longipennis wallacii,Dendrochelidon wallacei -- Wallace's tree-swift
I,24,ku-gould:17638,Moustached Treeswift,Hemiprocne mystacea,Dendrochelidon mystaceus -- Bearded tree-swift
I,25,ku-gould:17634,Whiskered Treeswift,Hemiprocne comata,Dendrochelidon comatus -- Hooded tree-swift
I,26,ku-gould:17630,Wire-tailed Swallow,Hirundo smithii,Hirundo flifera
I,27,ku-gould:17626,European Striated Swallow,Hirundo (Cecropis) daurica rufula,Cecropis rufula -- Western mosque-swallow
I,28,ku-gould:17622,European Striated Swallow,Hirundo (Cecropis) daurica,Cecropis daurica -- Daurian mosque-swallow
I,29,ku-gould:17618,Indian Striated Swallow,Hirundo (Cecropis) daurica erythropygia,Cecropis erythropygia -- Indian mosque-swallow
I,30,ku-gould:17614,Sri Lanka Swallow,Hirundo (Cecropis) hyperythra,Cecropis hyperythra -- Ceylonese mosque-swallow
I,31,ku-gould:17610,"Nepal House Martin, Nepal Martin",Delichon nipalense,Delichon nipalensis -- Nepal martin-swallow
I,32,ku-gould:17606,Hill Swallow,Hirundo domicola,Hypurolepis domicola -- Bungalow swallow
I,33,ku-gould:17602,"Streak-throated Swallow, Indian Cliff Swallow",Hirundo fluvicola,Lagenoplastes fluvicola -- Indian cliff-swallow
I,34,ku-gould:17598,Chestnut-headed Bee-eater,Merops leschenaulti quinticolor,Merops quinticolor -- Pirik bee-eater
I,35,ku-gould:17594,Blue-throated Bee-eater,Merops viridis,Hurrial bee-eater
I,36,ku-gould:17590,Blue-tailed Bee-eater,Merops philippinus,Philippine bee-eater
I,37,ku-gould:17586,Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctiornis athertoni -- Blue-throated nyctiornis
I,38,ku-gould:17582,Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctiornis amictus -- Red-throated nyctiornis
I,39,ku-gould:17578,Purple-bearded Bee-eater,Meropogon forsteni,Forsten's bee-eater
I,40,ku-gould:17574,Hombron's Kingfisher,Actenoides hombroni,
I,41,ku-gould:17570,Spotted Wood Kingfisher,Actenoides lindsayi,Lindsay's kingfisher
I,42,ku-gould:17566,Rufous-collared Kingfisher,Actenoides concretus,Sumatra kingfisher
I,43,ku-gould:17562,White-throated Kingfisher,Halcyon smyrnensis fusca,Halcyon fusca -- Indian kingfisher
I,44,ku-gould:17558,White-throated Kingfisher,Halcyon smyrnensis gularis,Halcyon gularis -- Manilla kingfisher
I,45,ku-gould:17554,Black-capped Kingfisher,Halcyon pileata,Halcyon atricapillus
I,46,ku-gould:17550,Glittering Kingfisher,Caridonax fulgidus,Halcyon fulgidus -- Blue-and-white kingfisher
I,47,ku-gould:17546,Javan Kingfisher,Halcyon cyanoventris,Halcyon omnicolor -- Many-coloured kingfisher
I,48,ku-gould:17542,Banded Kingfisher,Lacedo pulchella,Carcineutes pulchellus
I,49,ku-gould:17538,Banded Kingfisher,Lacedo pulchella melanops,Carcineutes melanops -- Black-faced kingfisher
I,50,ku-gould:17534,Banded Kingfisher,Lacedo pulchella,Carcineutes amabilis -- Tenasserim kingfisher
I,51,ku-gould:17530,Spangled Kookaburra,Dacelo tyro,Dacelo tyro -- Mantled kingfisher
I,52,ku-gould:17526,Blyth's Kingfisher,Alcedo hercules,Alcedo grandis -- Great alcedo
I,53,ku-gould:17522,Common Kingfisher,Alcedo atthis,Alcedo bengalensis -- Indian kingfisher
I,54,ku-gould:17518,Indian Roller,Coracias benghalensis,Coracias indica
I,55,ku-gould:17514,Indian Roller,Coracias benghalensis affinis,Coracias affinis -- Burmese roller
I,56,ku-gould:17510,"Purple-winged Roller, Sulawesi Roller",Coracias temminckii,Coracias temmincki -- Temminck's roller
I,57,ku-gould:17506,Banded Broadbill,Eurylaimus javanicus,Javan eurylaime
I,58,ku-gould:17502,Black-and-yellow Broadbill,Eurylaimus ochromalus,Eurylaimus ochromelas -- Hooded eurylaime
I,59,ku-gould:17498,Black-and-red Broadbill,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchus -- Great-billed eurylaime
I,60,ku-gould:17494,Black-and-red Broadbill,Cymbirhynchus macrorhynchos affinis,Cymbirhynchus affinis -- Allied eurylaime
I,61,ku-gould:17490,Dusky Broadbill,Corydon sumatranus,Great eurylaime
I,62,ku-gould:17486,Silver-breasted Broadbill,Serilophus lunatus,Lunated eurylaime
I,63,ku-gould:17482,Silver-breasted Broadbill,Serilophus lunatus rubropygius,Serilophus rubropygius -- Red-backed eurylaime
I,64,ku-gould:17478,Long-tailed Broadbill,Psarisomus dalhousiae,Dalhousie's eurylaime
I,65,ku-gould:17474,Steere's Broadbill,Sarcophanops steerii,
I,66,ku-gould:17470,"Common Hoopoe, Eurasian Hoopoe, Hoopoe",Upupa epops,Upupa nigripennis -- Indian hoopoe
I,67,ku-gould:17466,Masked Trogon,Trogon personatus,Harpactes duvauceli -- Duvaucel's trogon
I,68,ku-gould:17462,"Collared Trogon, Trogón de collar",Trogon collaris puella,Harpactes rutilus -- Malacca trogon
I,69,ku-gould:17458,"Violaceous Trogon, Trogón violáceo",Trogon violaceus ramonianus,Harpactes hodgsoni -- Hodgson's trogon
I,70,ku-gould:17454,"Black-headed Trogon, Trogón cabeza negra",Trogon melanocephalus,Harpactes diardi -- Diard's trogon
I,71,ku-gould:17450,"Amazonian White-tailed Trogon, White-tailed Trogon",Trogon viridis,Harpactes oreskios -- Mountain trogon
I,72,ku-gould:17446,Black-throated Trogon,Trogon rufus tenellus,Harpactes reinwardti -- Reinwardt's trogon
I,73,ku-gould:17442,Blue-crowned Trogon,Trogon curucui,Harpactes mackloti -- Macklot's trogon
I,74,ku-gould:17438,Black-tailed Trogon,Trogon melanurus,Harpactes kasumba -- Kasumba trogon
I,75,ku-gould:17434,"Violaceous Trogon, Trogón violáceo",Trogon violaceus,Harpactes fasciatus -- Fasciated trogon
I,76,ku-gould:17430,"Mountain Trogon, Trogón mexicano",Trogon mexicanus,Harpactes ardens -- Rosy-breasted trogon
II,1,ku-gould:17380,Green Cochoa,Cochoa viridis,
II,2,ku-gould:17376,Purple Cochoa,Cochoa purpurea,
II,3,ku-gould:17372,Grey-chinned Minivet,Pericrocotus solaris,Pericrocotus griseogularis -- Grey-throated pericrocotus
II,4,ku-gould:17368,Swinhoe's Minivet,Pericrocotus cantonensis,Canton pericrocotus
II,5,ku-gould:17364,Grey-chinned Minivet,Pericrocotus solaris,Yellow-throated pericrocotus
