volume,plate,ia_id,leaf,orientation,list_latin,caption_latin,caption_read,caption_top,text_leaf_heading,agrees,note
I,1,BirdsAsiaJohnGoIGoul,28,portrait,Otogyps calvus,OTOCYPS CALVUS.,ocr,0.903,"OTOGYPS Black Vultur caluus, Scop. Del. Flor. et Faun. Insub., p. Le Vautour roy",yes,
I,2,BirdsAsiaJohnGoIGoul,32,portrait,Gyps Bengalensis,GYPS BENGALENSIS.,ocr,0.879,"GYPS Bengal Vultur Bengalensis, Gmel. Syst. Nat., tom. i. p. 245, young.—Gray, I",yes,
I,3,BirdsAsiaJohnGoIGoul,36,portrait,Falco Peregrinator,FALCO PEREGRINATOR.,ocr,0.899,"FALCO PEREGRINATOR, Shaheen Falco peregrinator, Sundev. Physiogr. Sellsk. Tidsk.",yes,
I,4,BirdsAsiaJohnGoIGoul,40,portrait,Falco Babylonicus,"FALCO BABYLONICUS, Gurney",ocr,0.912,"FALCO BABYLONICUS, Red-naped Falco babylonicus, Gurney, Sclater and Ivby in Ibis",yes,
I,5,BirdsAsiaJohnGoIGoul,44,portrait,Falco sacer,FALCO SACER.,ocr,0.912,"FALCO Saker Accipiter falco sacer, Briss. Orn., tom. i. p. stellaris, Briss. ib.",yes,
I,6,BirdsAsiaJohnGoIGoul,48,portrait,Falco lamas,FALCO LANARIUS .,ocr (garbled),0.922,"FALCO Lanner Aceipiter lanarius, Briss. Orn., tom. i. p. Falco lanarius, Klein, ",yes,the caption reads Falco lanarius; the List's Latin is Falco lamas
I,7,BirdsAsiaJohnGoIGoul,52,portrait,Falco ducer,FALCO JUCGER: Gray.,ocr,0.902,"FALCO JUGGER, Jugger Jugger Falcon, Lath. Gen. Hist., vol. i. p. Falco Jugger, G",yes,
I,8,BirdsAsiaJohnGoIGoul,56,portrait,Erythropus amurensis,ERYTHROPUS AMURENSIS.,ocr,0.925,"ERYTHROPUS White-winged Red-footed Falco vespertinus, Schrenck, Reis. Amurl. Vég",yes,
I,9,BirdsAsiaJohnGoIGoul,60,portrait,Spilornis rufipectus,"SPILORNIS RUFIPECTUS, Loudd",ocr,0.913,"SPILORNIS RUFIPECTUS, Rufous-breasted Spilorms rufipectus, Gould in Proc. of Zoo",yes,
I,10,BirdsAsiaJohnGoIGoul,64,portrait,Spizaetus alboniger,"SPIZAETUS ALBONIGER, Blyth.",ocr,0.911,"SPIZAETUS ALBONIGER, Nisaétus alboniger, Blyth, Journ. Asiat. Soc. Beng., vol. x",yes,
I,11,BirdsAsiaJohnGoIGoul,68,portrait,Milvus Govinda,"MILVUS GOVINDA, Sykes.",ocr,0.911,"MILVUS GOVINDA, Govinda Milvus Govinda, Sykes in Proc. of Comm. of Sci. and Corr",yes,
I,12,BirdsAsiaJohnGoIGoul,72,portrait,Elanus hypoleucus,"ELANUS HYPOLEUCUS, Gould",ocr,0.908,"ELANUS HYPOLEUCUS, Celebean Elanus hypoleucus, Gould in Proc. of Zool. Soc., par",yes,
I,13,BirdsAsiaJohnGoIGoul,76,portrait,Scops pennatus,SCOPS PENNATA.,ocr (garbled),0.912,"SCOPS Indian Scops Scops pennatus, Hodgs. Journ. Asiat. Soc. Beny., vol. vi. p. ",yes,
I,14,BirdsAsiaJohnGoIGoul,80,portrait,Phodilus badius,PHODILUS BADIUS.,ocr,0.922,"PHODILUS Bay Strix badia, Horsf. Trans. Linn. Soc., vol. xiii. p. 139.—Id. Zool.",yes,
I,15,BirdsAsiaJohnGoIGoul,84,portrait,Athene Brodiei,ATHENE BRODIEI.,ocr,0.917,"ATHENE Brodie’s Noctua Brodiet, Burt. in Proc. of Zool. Soc., part iii., 1835, p",yes,
I,16,BirdsAsiaJohnGoIGoul,88,portrait,Syrnium ocellatum,"SYRNIUM OCELLATUM, Less.",ocr,0.925,"SYRNIUM OCELLATUM, Speckled Syrnium ocellatum, Less. Rev. Zool., 1839, p. 289.—G",yes,
I,17,BirdsAsiaJohnGoIGoul,92,portrait,Strix indica,"STRIX INDICA, Blyth.",ocr,0.912,"STRIX INDICA, Indian Strix flammea, Blyth, Cat. of Birds in Mus. Asiat. Soc. Cal",yes,
I,18,BirdsAsiaJohnGoIGoul,96,portrait,Strix candida,"STRIX CANDIDA, Tickell.",ocr,0.916,"STRIX CANDIDA, Straw candida, Tick. in Journ. Asiat. Soc. Beng., vol. ii. p. 572",yes,
I,19,BirdsAsiaJohnGoIGoul,100,portrait,Caprimulgus Mahrattensis,CAPRIMULGUS MAHRATTENSIS: Sykes,ocr,0.901,"CAPRIMULGUS MAHRATTENSIS, Mahratta Caprimulgus Mahrattensis, Sykes in Proc. of C",yes,
I,20,BirdsAsiaJohnGoIGoul,104,portrait,Cypselus infumatus,"CYPSELUS INFUMATUS, Sclat.",ocr,0.921,"CYPSELUS INFUMATUS, Setat Palm-roof Cypselus nfumatus, Sclat. in Proc. Zool. Soc",yes,
I,21,BirdsAsiaJohnGoIGoul,108,portrait,Dendrochelidon coronatus,DENDROCHELIDON CORONATUS.,ocr,0.908,"DENDROCHELIDON Crested Tree Hirundo coronata, Tick. Journ. Asiat. Soc. Beng., vo",yes,
I,22,BirdsAsiaJohnGoIGoul,112,portrait,Dendrochelidon Klecho,DENDROCHELIDON KLECHO.,ocr,0.911,"DENDROCHELIDON Klecho Tree Hirundo Klecho, Horsf. in Trans. Linn. Soc., vol. xii",yes,
I,23,BirdsAsiaJohnGoIGoul,116,portrait,Dendrochelidon Wallacei,"DENDROCHELIDON WALACEI, Gould.",ocr,0.91,"DENDROCHELIDON WALLACEL, Wallace’s Tree Dendrochelidon Wallacet, Gould in Proc. ",yes,
I,24,BirdsAsiaJohnGoIGoul,120,portrait,Dendrochelidon mystaceus,DENDROCHELIDON MYSTACEUS.,ocr,0.893,"DENDROCHELIDON Bearded Tree Cypselus mystaceus, Less. Voy. de la Coq., Ois., t. ",yes,
I,25,BirdsAsiaJohnGoIGoul,124,portrait,Dendrochelidon comatus,DENDROCHELIDON COMATUS.,ocr,0.919,"DENDROCHELIDON Hooded Tree Cypselus comatus, Temm. Pl. Col. Dendrochehdon comatu",yes,
I,26,BirdsAsiaJohnGoIGoul,128,portrait,Hirundo filifera,"HURUNDO FILFERA, Steph.",ocr,0.925,"HIRUNDO FILIFERA, Wire-tailed Hirundo filifera, Steph. Cont. of Shaw’s Gen. Zool",yes,
I,27,BirdsAsiaJohnGoIGoul,132,portrait,Cecropis rufula,CECROPIS RUFULA.,ocr,0.915,"CECROPIS Western Hirundo rufula, Temm. Man. d’Orn., 2nd edit. tom. iii. p. 298.—",yes,
I,28,BirdsAsiaJohnGoIGoul,136,portrait,Cecropis Daurica,CECROPIS DAURICA.,ocr,0.916,"CECROPIS DAURICA. Daurian Hirundo daurica, Linn. Mant., p. 528.—Id. Syst. Nat., ",yes,
I,29,BirdsAsiaJohnGoIGoul,140,portrait,Cecropis erythropygia,CECROPIS ERYTHROPYGIA .,ocr,0.918,"CECROPIS ERYTHROPYGIA. Indian Fr Hirundo erythropygia, Sykes, Proc. of Comm. of ",yes,
I,30,BirdsAsiaJohnGoIGoul,144,portrait,Cecropis hyperythra,CECROPIS HYPERYTHRA .,ocr,0.909,"CECROPIS Ceylonese Hirundo hyperythra, Layard, Blyth, Journ. Asiat. Soc. Beng., ",yes,
I,31,BirdsAsiaJohnGoIGoul,148,portrait,Delichon Nipalensis,DELICHON NIPALENSIS.,eye,,"DELICHON Nepaul atv Delichon Nipalensis, Hodgs., Moore in Proce. of Zool. Soc., ",yes,
I,32,BirdsAsiaJohnGoIGoul,152,portrait,Hypurolepis domicola,HYPUROLEPIS DOMICOLA .,ocr,0.921,"HYPUROLEPIS Firundo domicola, Jerd. Madr. Journ. of Lit. and Sci., vol. xiii. p.",yes,
I,33,BirdsAsiaJohnGoIGoul,156,portrait,Lagenoplastes fluvicola,LAGENOPLASTES TLUVICOLA.,ocr,0.924,"LAGENOPLASTES FLU Indian Hirundo fluwvicola, Jerd. Birds of Ind., vol. i. p. 161",yes,
