volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
I,1,,Black Vulture,Otogyps calvus,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Sarcogyps calvus (Red-headed Vulture),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,2,,Bengal Vulture,Gyps Bengalensis,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Gyps bengalensis (White-rumped Vulture),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,3,,Shaheen Falcon,Falco Peregrinator,Falco peregrinus,Peregrine Falcon,perfal,eBird/Clements 2025,Q30535,2481047,C7F1C08CB3F7F2DA,Falco peregrinus_Peregrine Falcon,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,4,,Red-naped Falcon,Falco Babylonicus,Falco peregrinus,Peregrine Falcon,perfal,eBird/Clements 2025,Q30535,2481047,C7F1C08CB3F7F2DA,Falco peregrinus_Peregrine Falcon,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,5,,Saker Falcon,Falco sacer,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Falco cherrug (Saker Falcon),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,6,,Lanner Falcon,Falco lamas,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Falco biarmicus (Lanner Falcon),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,7,,Jugger Falcon,Falco ducer,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Falco jugger (Laggar Falcon),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,8,,White-winged Red-footed Kestrel,Erythropus amurensis,Falco amurensis,Amur Falcon,amufal1,eBird/Clements 2025,Q481742,2480998,,Falco amurensis_Amur Falcon,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,9,,Rufous-breasted Spilornis,Spilornis rufipectus,Spilornis cheela,Crested Serpent-Eagle,crseag1,eBird/Clements 2025,Q431212,2480433,3EEEE78AD951A97B,Spilornis cheela_Crested Serpent-Eagle,subspecies,low,yes,the survey's form assignment; the Kansas catalogue reads Spilornis rufipectus (Sulawesi Serpent Eagle),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,10,,Black-and-white Crested Eagle,Spizaetus alboniger,,,,,,,,,,none,yes,not identified here; the Kansas catalogue reads Spizaetus alboniger (Blyth's Hawk-Eagle),List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,11,,Govinda Kite,Milvus Govinda,Milvus migrans,Black Kite,blakit1,eBird/Clements 2025,Q80362,5229167,C1C255AA01C58664,Milvus migrans_Black Kite,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,12,,Celebean Elanus,Elanus hypoleucus,Elanus caeruleus,Black-winged Kite,bkskit1,eBird/Clements 2025,Q27227,2480372,97C47F3E1BA4129A,Elanus caeruleus_Black-winged Kite,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,13,,Indian Scops Owl,Scops pennatus,Otus sunia,Oriental Scops-Owl,orsowl,eBird/Clements 2025,Q1260390,5232328,DD855E67383228E3,Otus sunia_Oriental Scops-Owl,subspecies,medium,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
I,14,,Bay Owl,Phodilus badius,Phodilus badius,Oriental Bay-Owl,orbowl1,eBird/Clements 2025,Q770529,2497972,F14E4D4551792643,Phodilus badius_Oriental Bay-Owl,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,15,,Brodie's Owlet,Athene Brodiei,Taenioptynx brodiei,Collared Owlet,colowl1,eBird/Clements 2025,Q517694,5232113,BD6F35612B009315,Taenioptynx brodiei_Collared Owlet,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,16,,Speckled Wood-Owl,Syrnium ocellatum,Strix ocellata,Mottled Wood-Owl,mowowl1,eBird/Clements 2025,Q672286,2497525,52A8CE5C3058123E,Strix ocellata_Mottled Wood-Owl,,high,yes,,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue; pinned in Featherframe (gould_asia.yaml)
I,17,,Indian Screech Owl,Strix indica,Tyto alba,Western Barn Owl,webowl1,eBird/Clements 2025,,,,Tyto alba_Barn Owl,subspecies,medium,yes,eBird splits Barn Owl; the binomial stays with Western Barn Owl,List of Plates (vol. I); engraved caption on the leaf; the text leaf bound after the plate; Kansas catalogue
