volume,plate,kind,ku_id,ku_name,ku_scientific,scientific,common,note
I,26,ku-error,ku-gould:15232,Spotted Harrier,Circus assimilis,Circus approximans,Swamp Harrier,"KU read the printed name: Jardine & Selby's assimilis is the Spotted Harrier, but Gould's Allied Harrier is the Swamp Harrier (his text compares it with the Marsh Harrier; Bonaparte renamed it Circus gouldi); the Spotted Harrier is Gould's Circus jardinii"
II,6,ku-error,ku-gould:15150,Tawny Frogmouth,Podargus strigoides,Podargus ocellatus,Marbled Frogmouth,"Gould: Clarence River brushes, long tail, nasal plumes = Plumed Frogmouth, P. ocellatus plumiferus (Marbled Frogmouth), not Tawny"
II,15,same,ku-gould:15114,Fairy Martin,Hirundo fluvicola,Petrochelidon ariel,Fairy Martin,"KU's English is Fairy Martin; its binomial Hirundo fluvicola (Streak-throated Swallow, India) is a slip; Gould's Collocalia ariel = Petrochelidon ariel"
II,23,same,ku-gould:15082,Collared Kingfisher,Todiramphus chloris,Todiramphus sordidus,Torresian Kingfisher,Split: Torresian Kingfisher T. sordidus split from Collared T. chloris (Clements); Gould's Halcyon sordidus is the Australian daughter
II,40,same,ku-gould:15014,Black-headed Pardalote,Pardalotus melanocephalus,Pardalotus striatus,Striated Pardalote,"Lump: P. melanocephalus (Moreton Bay, black crown, no yellow rump) is now a race of Striated Pardalote; KU keeps the old species"
II,41,same,ku-gould:15010,Black-headed Pardalote,Pardalotus melanocephalus,Pardalotus striatus,Striated Pardalote,"Gould's uropygialis (NW coast, black crown, yellow rump; 1839) = P. striatus uropygialis; KU files it under old P. melanocephalus, itself now in striatus. Not McCoy's Yellow-rumped (punctatus xanthopygus)"
II,55,ku-error,ku-gould:14954,Black-headed Cuckooshrike,Coracina melanoptera,Coracina novaehollandiae,Black-faced Cuckooshrike,Graucalus melanops (Latham) = Black-faced Cuckooshrike C. novaehollandiae melanops; KU's C. melanoptera is the Indian Black-headed Cuckooshrike
II,58,ku-error,ku-gould:14942,Black-shouldered Cicadabird,Coracina incerta,Coracina lineata,Barred Cuckooshrike,"Gould: new name for Swainson's Ceblepyris lineatus, barred underparts, Moreton Bay = Barred Cuckooshrike; KU's Cicadabird is New Guinea"
II,63,same,ku-gould:14922,White-shouldered Triller,Lalage sueurii,Lalage tricolor,White-winged Triller,Split: White-winged Triller L. tricolor split from White-shouldered L. sueurii; Gould's humeralis is the Australian bird (tricolor)
II,67,ku-error,ku-gould:14906,Australian Golden Whistler,Pachycephala pectoralis,Pachycephala rufiventris,Rufous Whistler,"KU took the modern binomial; Gould's text describes Rufous Whistler (grey above, black band, orange-brown belly; female streaked buff below). Golden Whistler is his gutturalis/glaucura (II.64-65)"
