volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
I,1,Wedge-tailed Eagle,Aquila fucosa,Aquila fucosa,birdsAustraliav1Goul,186988,140,48185052,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0140.jp2,https://www.biodiversitylibrary.org/page/48185052,sheet-birdsAustraliav1Goul-0140.jpg,crop-birdsAustraliav1Goul-0140.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,2,Little Australian Eagle,Aquila Morphnoides,Aquila Morphnoides,birdsAustraliav1Goul,186988,144,48185056,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0144.jp2,https://www.biodiversitylibrary.org/page/48185056,sheet-birdsAustraliav1Goul-0144.jpg,crop-birdsAustraliav1Goul-0144.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,3,White-bellied Sea Eagle,Ichthyiaetus leucogaster,Ichthyiaetus leucogaster,birdsAustraliav1Goul,186988,148,48185060,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0148.jp2,https://www.biodiversitylibrary.org/page/48185060,sheet-birdsAustraliav1Goul-0148.jpg,crop-birdsAustraliav1Goul-0148.jpg,
I,4,White-breasted Sea Eagle,Haliaster leucosternus,Haliaster leucosternus,birdsAustraliav1Goul,186988,152,48185064,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0152.jp2,https://www.biodiversitylibrary.org/page/48185064,sheet-birdsAustraliav1Goul-0152.jpg,crop-birdsAustraliav1Goul-0152.jpg,
I,5,Whistling Eagle,Haliaster sphenurus,Haliaster sphenurus,birdsAustraliav1Goul,186988,156,48185068,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0156.jp2,https://www.biodiversitylibrary.org/page/48185068,sheet-birdsAustraliav1Goul-0156.jpg,crop-birdsAustraliav1Goul-0156.jpg,
I,6,White-headed Osprey,Pandion leucocephalus,Pandion leucocephalus,birdsAustraliav1Goul,186988,160,48185072,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0160.jp2,https://www.biodiversitylibrary.org/page/48185072,sheet-birdsAustraliav1Goul-0160.jpg,crop-birdsAustraliav1Goul-0160.jpg,
I,7,Grey Falcon,Falco hypoleucus,Falco hypoleucus,birdsAustraliav1Goul,186988,164,48185076,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0164.jp2,https://www.biodiversitylibrary.org/page/48185076,sheet-birdsAustraliav1Goul-0164.jpg,crop-birdsAustraliav1Goul-0164.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,8,Black-cheeked Falcon,Falco melanogenys,Falco melanogenys,birdsAustraliav1Goul,186988,168,48185080,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0168.jp2,https://www.biodiversitylibrary.org/page/48185080,sheet-birdsAustraliav1Goul-0168.jpg,crop-birdsAustraliav1Goul-0168.jpg,
I,9,Black Falcon,Falco subniger,Falco subniger,birdsAustraliav1Goul,186988,172,48185084,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0172.jp2,https://www.biodiversitylibrary.org/page/48185084,sheet-birdsAustraliav1Goul-0172.jpg,crop-birdsAustraliav1Goul-0172.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
I,10,White-fronted Falcon,Falco frontatus,Falco frontatus,birdsAustraliav1Goul,186988,176,48185088,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav1Goul/birdsAustraliav1Goul_0176.jp2,https://www.biodiversitylibrary.org/page/48185088,sheet-birdsAustraliav1Goul-0176.jpg,crop-birdsAustraliav1Goul-0176.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
