volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
I,1,ku-gould:15332,Wedge-tailed Eagle. 1. plate,Wedge-tailed Eagle,Aquila fucosa,Aquila audax,
I,2,ku-gould:15328,Little Eagle. 2. plate,Little Eagle,Aquila morphnoides,Hieraaetus morphnoides,printed_english=Little australian eagle
I,3,ku-gould:15324,White-bellied Sea Eagle. 3. plate,White-bellied Sea Eagle,Ichthyiaetus leucogaster,Haliaeetus leucogaster,
I,4,ku-gould:15320,Brahminy Kite. 4. plate,Brahminy Kite,Haliaster leucosternus,Haliastur indus,printed_english=White-breasted sea eagle
I,5,ku-gould:15316,Whistling Kite. 5. plate,Whistling Kite,Haliaster sphenurus,Haliastur sphenurus,printed_english=Whistling eagle
I,6,ku-gould:15312,"Osprey, Western Osprey, Balbuzard pêcheur, Gavilán pescador. 6. plate","Osprey, Western Osprey, Balbuzard pêcheur, Gavilán pescador",Pandion leucocephalus,Pandion haliaetus,printed_english=White-headed osprey
I,7,ku-gould:15308,Grey Falcon. 7. plate,Grey Falcon,Falco hypoleucus,Falco hypoleucos,
I,8,ku-gould:15304,"Peregrine Falcon, Faucon pèlerin, faucon pélerin, Halcón peregrino,. 8. plate","Peregrine Falcon, Faucon pèlerin, faucon pélerin, Halcón peregrino,",Falco melanogenys,Falco peregrinus,printed_english=Black-cheeked falcon
I,9,ku-gould:15300,Black Falcon. 9. plate,Black Falcon,,Falco subniger,
I,10,ku-gould:15296,Australian Hobby. 10. plate,Australian Hobby,Falco frontatus,Falco longipennis,printed_english=White-fronted falcon
I,11,ku-gould:15292,Brown Falcon. 11. plate,Brown Falcon,Ieracidea berigora,Falco berigora berigora,printed_english=Brown hawk
I,12,ku-gould:15288,Brown Falcon. 12. plate,Brown Falcon,Ieracidea occidentalis,Falco berigora occidentalis,printed_english=Western brown hawk
I,13,ku-gould:15284,"Australian Falcon, Nankeen Kestrel. 13. plate","Australian Falcon, Nankeen Kestrel",Tinnunculus cenchroides,Falco cenchroides,printed_english=Nankeen kestril
I,14,ku-gould:15280,Grey Goshawk. 14. plate,Grey Goshawk,Astur novae-hollandiae,Accipiter novaehollandiae,printed_english=New holland goshawk
I,15,ku-gould:15276,Grey Goshawk. 15. plate,Grey Goshawk,Astur novae-hollandiae,Accipiter novaehollandiae,printed_english=White goshawk
I,16,ku-gould:15272,Red Goshawk. 16. plate,Red Goshawk,Astur radiatus,Erythrotriorchis radiatus,printed_english=Radiated goshawk
I,17,ku-gould:15268,Brown Goshawk. 17. plate,Brown Goshawk,Astur approximans,Accipiter fasciatus,printed_english=Australian goshawk
I,18,ku-gould:15264,Brown Goshawk. 18. plate,Brown Goshawk,Astur cruentus,Accipiter fasciatus,printed_english=West australian goshawk
I,19,ku-gould:15260,Collared Sparrowhawk. 19. plate,Collared Sparrowhawk,Accipiter torquatus,Accipiter cirrocephalus,printed_english=Collared sparrow hawk
I,20,ku-gould:15256,Black-breasted Buzzard. 20. plate,Black-breasted Buzzard,Buteo melanosternon,Hamirostra melanosternon,
I,21,ku-gould:15252,"Black Kite, Milan noir. 21. plate","Black Kite, Milan noir",Milvus affinis,Milvus migrans,printed_english=Allied kite
I,22,ku-gould:15248,Square-tailed Kite. 22. plate,Square-tailed Kite,Milvus isurus,Lophoictinia isura,
I,23,ku-gould:15244,Black-shouldered Kite. 23. plate,Black-shouldered Kite,,Elanus axillaris,
I,24,ku-gould:15240,Letter-winged Kite. 24. plate,Letter-winged Kite,,Elanus scriptus,
I,25,ku-gould:15236,Pacific Baza. 25. plate,Pacific Baza,Lepidogenys subcristatus,Aviceda subcristata,printed_english=Crested hawk
I,26,ku-gould:15232,Spotted Harrier. 26. plate,Spotted Harrier,Allied harrier,Circus assimilis,
I,27,ku-gould:15228,Spotted Harrier. 27. plate,Spotted Harrier,Circus jardinii,Circus assimilis,printed_english=Jardine's harrier
I,28,ku-gould:15224,Australian Masked Owl. 28. plate,Australian Masked Owl,Strix castanops,Tyto novaehollandiae castanops,printed_english=Chestnut-faced owl
I,29,ku-gould:15220,Australian Masked Owl. 29. plate,Australian Masked Owl,Strix personata,Tyto novaehollandiae,printed_english=Masked barn owl
I,30,ku-gould:15216,Greater Sooty Owl. 30. plate,Greater Sooty Owl,Strix tenebricosus,Tyto tenebricosa,printed_english=Sooty owl
I,31,ku-gould:15212,"Barn Owl, Common Barn-Owl, effraie de clochers, Lechuza de campanario. 31. plate","Barn Owl, Common Barn-Owl, effraie de clochers, Lechuza de campanario",Strix delicatulus,Tyto alba delicatula,printed_english=Delicate owl
I,32,ku-gould:15208,Southern Boobook. 32. plate,Southern Boobook,Athene boobook,Tyto boobook,printed_english=Boobook owl
I,33,ku-gould:15204,Morepork. 33. plate,Morepork,Athene maculata,Ninox novaeseelandiae,printed_english=Spotted owl
I,34,ku-gould:15200,Barking Boobook. 34. plate,Barking Boobook,Athene connivens,Ninox connivens,printed_english=Winking owl
I,35,ku-gould:15196,Powerful Boobook. 35. plate,Powerful Boobook,Athene strenua,Ninox strenua,printed_english=Powerful owl
I,36,ku-gould:15192,Rufous Boobook. 36. plate,Rufous Boobook,Athene rufa,Ninox rufa,printed_english=Rufous owl
II,1,ku-gould:15170,Australian Owlet-Nightjar. 1. plate,Australian Owlet-Nightjar,Aegotheles novae-hollandiae,Aegotheles cristatus,printed_english=Owlet nightjar
II,2,ku-gould:15166,Australian Owlet-Nightjar. 2. plate,Australian Owlet-Nightjar,Aegotheles leucogaster,Aegotheles cristatus,printed_english=White-bellied owlet nightjar
II,3,ku-gould:15162,Tawny Frogmouth. 3. plate,Tawny Frogmouth,Podargus humeralis,Podargus strigoides,printed_english=Tawny-shouldered podargus
II,4,ku-gould:15158,Tawny Frogmouth. 4. plate,Tawny Frogmouth,Podargus cuvieri,Podargus strigoides,printed_english=Cuvier's podargus
II,5,ku-gould:15154,Tawny Frogmouth. 5. plate,Tawny Frogmouth,Podargus phalaenoides,Podargus strigoides phalaenoides,printed_english=Moth-plumaged podargus
II,6,ku-gould:15150,Tawny Frogmouth. 6. plate,Tawny Frogmouth,Podargus plumiferus,Podargus strigoides,printed_english=Plumed podargus
II,7,ku-gould:15146,White-throated Nightjar. 7. plate,White-throated Nightjar,Eurostopodus albogularis,Eurostopodus mystacalis,printed_english=White-throated goat-sucker
II,8,ku-gould:15142,Spotted Nightjar. 8. plate,Spotted Nightjar,Eurostopodus guttatus,Eurostopodus argus,printed_english=Spotted goat-sucker
II,9,ku-gould:15138,Large-tailed Nightjar. 9. plate,Large-tailed Nightjar,,Caprimulgus macrurus,printed_alt_name=Large-tailed goat-sucker
II,10,ku-gould:15134,White-throated Needletail. 10. plate,White-throated Needletail,Acanthylis caudacuta,Hirundapus caudacutus,printed_english=Australian spine-tailed swallow
II,11,ku-gould:15130,Fork-tailed Swift. 11. plate,Fork-tailed Swift,Cypselus australis,Apus pacificus,printed_english=Australian swift
II,12,ku-gould:15126,White-backed Sparrow. 12. plate,White-backed Sparrow,Atticora leucosternon,Cheramoeca leucosternus,printed_english=White-breasted swallow
II,13,ku-gould:15122,Welcome Swallow. 13. plate,Welcome Swallow,,Hirundo neoxena,
II,14,ku-gould:15118,Tree Martin. 14. plate,Tree Martin,Collocalia arborea,Hirundo nigricans,
II,15,ku-gould:15114,Fairy Martin. 15. plate,Fairy Martin,Collocalia ariel,Hirundo fluvicola,
II,16,ku-gould:15110,Rainbow Bee-eater. 16. plate,Rainbow Bee-eater,Australian bee-eater,Merops ornatus,
II,17,ku-gould:15106,"Dollar Bird, Dollar Roller, Dollarbird, Oriental Dollarbird. 17. plate","Dollar Bird, Dollar Roller, Dollarbird, Oriental Dollarbird",Eurystomus australis,Eurystomus orientalis,printed_english=Australian roller
II,18,ku-gould:15102,Laughing Kookaburra. 18. plate,Laughing Kookaburra,Dacelo gigantea,Dacelo novaeguineae,printed_english=Great brown kingfisher
II,19,ku-gould:15098,Blue-winged Kookaburra. 19. plate,Blue-winged Kookaburra,,Dacelo leachii,printed_alt_name=Leach's kingfisher
II,20,ku-gould:15094,Blue-winged Kookaburra. 20. plate,Blue-winged Kookaburra,Dacelo cervina,Dacelo leachii,printed_english=Fawn-breasted kingfisher
II,21,ku-gould:15090,Sacred Kingfisher. 21. plate,Sacred Kingfisher,Halcyon sanctus,Todiramphus sanctus,printed_english=Sacred halcyon
II,22,ku-gould:15086,Red-backed Kingfisher. 22. plate,Red-backed Kingfisher,Halcyon pyrrhopygia,Todiramphus pyrrhopygius,printed_english=Red-backed halcyon
II,23,ku-gould:15082,Collared Kingfisher. 23. plate,Collared Kingfisher,Halcyon sordidus,Todiramphus chloris,printed_english=Sordid halcyon
II,24,ku-gould:15078,Forest Kingfisher. 24. plate,Forest Kingfisher,Halcyon macleayii,Todiramphus macleayii,printed_english=Macleay's halcyon
II,25,ku-gould:15074,Azure Kingfisher. 25. plate,Azure Kingfisher,Alcyone azurea,Alcedo azurea,
II,26,ku-gould:15070,Little Kingfisher. 26. plate,Little Kingfisher,Alcyone pusilla,Alcedo pusilla,
II,27,ku-gould:15066,Dusky Woodswallow. 27. plate,Dusky Woodswallow,Artamus sordidus,Artamus cyanopterus,printed_english=Wood swallow
II,28,ku-gould:15062,Little Woodswallow. 28. plate,Little Woodswallow,Little wood swallow,Artamus minor,
II,29,ku-gould:15058,Black-faced Woodswallow. 29. plate,Black-faced Woodswallow,,Artamus cinereus,printed_alt_name=Grey-breasted wood swallow
II,30,ku-gould:15054,Black-faced Woodswallow. 30. plate,Black-faced Woodswallow,Artamus albiventris,Artamus cinereus,printed_english=White-vented wood swallow
II,31,ku-gould:15050,Masked Woodswallow. 31. plate,Masked Woodswallow,Masked wood swallow,Artamus personatus,
II,32,ku-gould:15046,White-browed Woodswallow. 32. plate,White-browed Woodswallow,,Artamus superciliosus,printed_alt_name=White-eyebrowed wood swallow
II,33,ku-gould:15042,"White-breasted Wood-Swallow, White-breasted Woodswallow. 33. plate","White-breasted Wood-Swallow, White-breasted Woodswallow",Artamus leucopygialis,Artamus leucorynchus,printed_english=White-rumped wood swallow
II,34,ku-gould:15038,Mistletoebird. 34. plate,Mistletoebird,Swallow dicaeum,Dicaeum hirundinaceum,
II,35,ku-gould:15034,Spotted Pardalote. 35. plate,Spotted Pardalote,,Pardalotus punctatus,
II,36,ku-gould:15030,Red-browed Pardalote. 36. plate,Red-browed Pardalote,,Pardalotus rubricatus,printed_alt_name=Red-lored pardalote
II,37,ku-gould:15026,Forty-spotted Pardalote. 37. plate,Forty-spotted Pardalote,,Pardalotus quadragintus,
II,38,ku-gould:15022,Striated Pardalote. 38. plate,Striated Pardalote,,Pardalotus striatus,
II,39,ku-gould:15018,Striated Pardalote. 39. plate,Striated Pardalote,Pardalotus affinis,Pardalotus striatus,printed_english=Allied pardalote
II,40,ku-gould:15014,Black-headed Pardalote. 40. plate,Black-headed Pardalote,,Pardalotus melanocephalus,
II,41,ku-gould:15010,Black-headed Pardalote. 41. plate,Black-headed Pardalote,Pardalotus uropygialis,Pardalotus melanocephalus,printed_english=Yellow-rumped pardalote
II,42,ku-gould:15006,Pied Currawong. 42. plate,Pied Currawong,Great crow-shrike,Strepera graculina,
II,43,ku-gould:15002,Black Currawong. 43. plate,Black Currawong,Sooty crow-shrike,Strepera fuliginosa,
II,44,ku-gould:14998,Grey Currawong. 44. plate,Grey Currawong,Strepera arguta,Strepera versicolor,printed_english=Hill crow-shrike
II,45,ku-gould:14994,Grey Currawong. 45. plate,Grey Currawong,Strepera anaphonensis,Strepera versicolor,printed_english=Grey crow-shrike
II,46,ku-gould:14990,Australian Magpie. 46. plate,Australian Magpie,Piping crow-shrike,Gymnorhina tibicen,
II,47,ku-gould:14986,Australian Magpie. 47. plate,Australian Magpie,Gymnorhina leuconota,Gymnorhina tibicen,printed_english=White-backed crow-shrike
II,48,ku-gould:14982,Australian Magpie. 48. plate,Australian Magpie,Gymnorhina organicum,Gymnorhina tibicen,printed_english=Tasmanian crow-shrike
II,49,ku-gould:14978,Pied Butcherbird. 49. plate,Pied Butcherbird,,Cracticus nigrogularis,printed_alt_name=Black-throated crow-shrike
II,50,ku-gould:14974,Pied Butcherbird. 50. plate,Pied Butcherbird,Cracticus picatus,Cracticus nigrogularis,printed_english=Pied crow-shrike
II,51,ku-gould:14970,Grey Butcherbird. 51. plate,Grey Butcherbird,Cracticus argenteus,Cracticus torquatus,printed_english=Silvery-backed butcher-bird
II,52,ku-gould:14966,Grey Butcherbird. 52. plate,Grey Butcherbird,Cracticus destructor,Cracticus torquatus,printed_english=Butcher-bird
II,53,ku-gould:14962,Black Butcherbird. 53. plate,Black Butcherbird,Cracticus quoyii,Cracticus quoyi,printed_english=Quoy's crow-shrike
II,54,ku-gould:14958,Magpielark. 54. plate,Magpielark,Grallina australis,Grallina cyanoleuca,printed_english=Pied grallina
II,55,ku-gould:14954,Black-headed Cuckooshrike. 55. plate,Black-headed Cuckooshrike,Graucalus melanops,Coracina melanoptera,printed_english=Black-faced graucalus
