volume,plate,ia_id,leaf,caption_ocr,caption_latin,agrees,orientation,caption_top,fold_out,note
I,1,birdsAustraliav1Goul,140,0 hillnande Lrg Z,Aquila fucosa,yes,portrait,0.973,,Vision OCR: AQUILA FUCOSA:Cv:
I,2,birdsAustraliav1Goul,144,"2° RPHNOIDE Cowwld ° 3 S) i i AQUILA D t C Hulltmandel fyyp. Gould wand MO hichter det, H,",Aquila Morphnoides,yes,portrait,0.922,,Vision OCR: AQUILA MORPHNOIDES: Gould
I,3,birdsAustraliav1Goul,148,ICHTHYIAETUS LEUCOGASTER. . ee View SEL 6,Ichthyiaetus leucogaster,yes,portrait,0.911,,Vision OCR: ICHTHYIAETUS LEUCOGASTER.
I,4,birdsAustraliav1Goul,152,I os F f SSeS yas a ae re renee : z = : SPORT MAMA Slee ee ees REET SF 4p. led. ude C Linlimaa Ke = ES I ASTUIR A TAIL IA Se —S SSS i} i | Lichter AL N XS < S x iN 3 S,Haliaster leucosternus,yes,portrait,0.887,,Vision OCR: HALIASTUR LEUCOSTERNTS:
I,5,birdsAustraliav1Goul,156,0 Hattinaidh dl Leyg? A tronld and HO Richter AL tli.,Haliaster sphenurus,yes,portrait,0.959,,Vision OCR: HALASTUR? SPHENURTS.
I,6,birdsAustraliav1Goul,160,Gould. o o PANDION LEUCOCEPHALA LGonkd and HC Lichier dd ov bith.,Pandion leucocephalus,yes,portrait,0.957,,Vision OCR: PANDION LEUCOCEPHALA: Gould
I,7,birdsAustraliav1Goul,164,S bowld ond HChichter del & ith. BHallaandel & Walton tp,Falco hypoleucus,yes,portrait,0.925,,Vision OCR: FALCO HYPOLEUCOS:Gould.
I,8,birdsAustraliav1Goul,168,"Gould, ° ° FALCO MELANOGENYS CHalimanded Lup. SELF Could dee cb lth",Falco melanogenys,yes,portrait,0.949,,Vision OCR: FALCO MELANOGENYS:Gould
I,9,birdsAustraliav1Goul,172,cessor,Falco subniger,yes,portrait,0.944,,Vision OCR: PALCO SUBNIGEI
I,10,birdsAustraliav1Goul,176,"SkL, Coit Ged w tthe. 1 H ! 1 FALCO FRONTATUS: Goud C Fadinandel tmp,",Falco frontatus,yes,portrait,0.965,,Vision OCR: FAICO FRONTATUS: Goua
