volume,plate,leaf,ia_id,gould_latin,gould_english,birdnet_sci,birdnet_common,confidence,why,crosswalk_reason,ku_sci,ku_check,species_pinned_elsewhere
I,33,268,birdsAustraliav1Goul,Athene maculata,Spotted Owl,Ninox novaeseelandiae,Morepork,low,crosswalk low,"drawn from live Hobart birds = Tasmanian Boobook; Clements 2021 kept it in Morepork, IOC splits; BirdNET Morepork is NZ-trained",Ninox novaeseelandiae,,
II,56,232,birdsAustraliav2Goul,Graucalus mentalis,Varied Graucalus,Coracina papuensis,White-bellied Cuckooshrike,medium,crosswalk medium,mentalis V&H = dark-faced 'Varied' form of White-bellied Cuckooshrike (robusta),Coracina papuensis,,yes
II,64,264,birdsAustraliav2Goul,Pachycephala gutturalis,Guttural Pachycephala,Pachycephala pectoralis,Golden Whistler,medium,crosswalk medium,"gutturalis Latham = Golden Whistler (E Aus); Gould's synonymy also lumps the W form (fuliginosa, now Western Whistler)",Pachycephala pectoralis,,yes
III,41,172,birdsAustraliav3Goul,Cysticola magna,Great Warbler,Cisticola exilis,Golden-headed Cisticola,low,crosswalk low; KU crosswalk-error: Cysticola magna,"magna Gould: one specimen of unknown locality (Strickland); identity unresolved, perhaps a non-Australian Cisticola",Cysticola magna,"Gould's own synonymy makes magna his Cysticola campestris (PZS 1845) = Rattling Cisticola C. chiniana campestris, an African bird (Natal) whose type locality 'Australia' was an error. Correct label: Cisticola chiniana_Rattling Cisticola (or none if the folio should not name an African bird)",yes
III,44,184,birdsAustraliav3Goul,Cysticola isura,Square-tailed Warbler,Cisticola exilis,Golden-headed Cisticola,medium,crosswalk medium,isura Gould = Golden-headed Cisticola (Gould himself doubted it distinct; female/non-breeding),Cysticola isura,"KU gives only Gould's name; Gould's isura (Liverpool Plains, Port Phillip) can only be Golden-headed Cisticola there (Zitting Cisticola is tropical)",yes
III,45,188,birdsAustraliav3Goul,Cysticola ruficeps,Rufous-headed Warbler,Cisticola exilis,Golden-headed Cisticola,medium,crosswalk medium,ruficeps Gould = Golden-headed Cisticola plumage (uniform rufous head),Cisticola ruficeps,"KU matched Cretzschmar's African Red-pate Cisticola C. ruficeps (homonym); Gould's ruficeps is from Liverpool Plains, Port Phillip and the north coast = Golden-headed Cisticola, breeding male (uniform rufous head)",yes
III,58,240,birdsAustraliav3Goul,Acanthiza pyrrhopygia,Red-rumped Acanthiza,Acanthiza apicalis,Inland Thornbill,medium,crosswalk medium,pyrrhopygia Gould (Murray scrubs) = Inland Thornbill per Gould's own comparison; could be read as Chestnut-rumped,Acanthiza pusilla,"KU uses the old lump of apicalis in A. pusilla; Gould: Murray belts, red rump, streaked throat, white tail tips, 'most nearly allied to apicalis' = Inland Thornbill (SE inland form); plate agrees",yes
IV,2,16,birdsAustraliav4Goul,Pitta Vigorsii,Vigors’ Pitta,Pitta elegans,Elegant Pitta,medium,crosswalk medium,vigorsii Gould = Elegant Pitta race of the Banda Sea (not an Australian bird),Pitta versicolor,Gould's Vigors' Pitta is one Linnean Soc. skin (no locality) = P. elegans vigorsii of the Banda Sea; Noisy Pitta is Gould's P. strepitans (IV.1),
IV,8,41,birdsAustraliav4Goul,Chlamydera maculata,Spotted Bower-Bird,Chlamydera maculata,Spotted Bowerbird,high,fold-out,Spotted Bowerbird,Chlamydera maculata,,
IV,10,51,birdsAustraliav4Goul,Ptilonorhynchus holosericeus,Satin Bower-Bird,Ptilonorhynchus violaceus,Satin Bowerbird,high,fold-out,holosericeus = Satin Bowerbird,Ptilonorhynchus violaceus,,
