volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
I,1,,Egyptian Vulture,Neophron percnopterus,Neophron percnopterus,Egyptian Vulture,egyvul1,eBird/Clements 2025,Q33504,2480696,6D3480A64B4953CE,,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed",survey (sources/survey.csv)
I,2,,Golden Eagle,Aquila chrysaëtos,Aquila chrysaetos,Golden Eagle,goleag,eBird/Clements 2025,Q41181,2480506,5F8E7CA845BD413F,Aquila chrysaetos_Golden Eagle,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 6",survey (sources/survey.csv)
I,3,,Spotted Eagle,Aquila nævia,Clanga clanga,Greater Spotted Eagle,grseag1,eBird/Clements 2025,Q21090684,7477624,BAC4CA22EDCC74E7,Clanga clanga_Greater Spotted Eagle,,low,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; British birds were Greater Spotted; 19th-c naevia mixes clanga and pomarina (check plate)",survey (sources/survey.csv)
I,4,,Sea-Eagle,Haliaëtus albicilla,Haliaeetus albicilla,White-tailed Eagle,whteag,eBird/Clements 2025,Q25438,2480449,5A3D91D3254A568D,Haliaeetus albicilla_White-tailed Eagle,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 10",survey (sources/survey.csv)
I,5,,Osprey,Pandion haliaëtus,Pandion haliaetus,Osprey,osprey,eBird/Clements 2025,Q25332,2480726,5BCF1891777ED3D3,Pandion haliaetus_Osprey,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 12",survey (sources/survey.csv)
I,6,,Common Buzzard,Buteo vulgaris,Buteo buteo,Common Buzzard,combuz1,eBird/Clements 2025,Q25385,2480537,3C6D4915490BC8CD,Buteo buteo_Common Buzzard,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 14",survey (sources/survey.csv)
I,7,,Rough-legged Buzzard,Archibuteo lagopus,Buteo lagopus,Rough-legged Hawk,rolhaw,eBird/Clements 2025,Q26407,2480524,90B13ACF984D0DDF,Buteo lagopus_Rough-legged Hawk,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 15",survey (sources/survey.csv)
I,8,,Honey-Buzzard,Pernis apivorus,Pernis apivorus,European Honey-buzzard,euhbuz1,eBird/Clements 2025,Q170466,2480420,ED5A7E8F6EDBB78E,Pernis apivorus_European Honey-buzzard,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 16",survey (sources/survey.csv)
I,9,,Goshawk,Astur palumbarius,Astur gentilis,Eurasian Goshawk,norgos1,eBird/Clements 2025,Q25353,2480589,,Accipiter gentilis_Northern Goshawk,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; BirdNET's Northern Goshawk is split by eBird into American and Eurasian Goshawk",survey (sources/survey.csv)
I,10,,Sparrow-Hawk,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,eurspa1,eBird/Clements 2025,Q25380,2480637,DB376A66278ED21E,Accipiter nisus_Eurasian Sparrowhawk,,medium,no,"a draft from the survey of the folio: the List's name carried to a modern one, not yet reviewed; agrees with The Birds of Europe, plate 18",survey (sources/survey.csv)
