plate,volume,english,latin,authority,note
1,I,Griffon Vulture,Vultur fulvus,Linn.,
2,I,Cinereous Vulture,Vultur cinereus,Linn.,
3,I,Egyptian Neophron,Neophron Percnopterus,Savig.,
4,I,Bearded Vulture or Læmmer-geyer,Gypaëtus barbatus,Storr.,
5,I,Imperial Eagle,Aquila Imperialis,Briss.,
6,I,Golden Eagle,Aquila chrysaëta,Briss.,
7,I,Bonelli's Eagle,Aquila Bonelli,,
8,I,Spotted Eagle,Aquila nævia,Meyer.,
9,I,Booted Eagle,Aquila pennata,Steph.,
10,I,Sea Eagle,Haliaëtus albicilla,Selby.,
11,I,White-headed Eagle,Haliaëtus leucocephalus,Savig.,
12,I,Osprey,Pandion haliaëtus,Savig.,
13,I,Short-toed Eagle,Circaëtus brachydactylus,Vieill.,
14,I,Common Buzzard,Buteo vulgaris,Bechst.,
15,I,Rough-legged Buzzard,Buteo Lagopus,Flem.,
16,I,Honey Buzzard,Pernis apivorus,Cuv.,
17,I,Goshawk,Astur palumbarius,Bechst.,
18,I,Sparrow Hawk,Accipiter fringillarius,Ray.,
19,I,Jer Falcon,Falco Islandicus,Lath.,
20,I,Lanner Falcon,Falco Lanarius,Linn.,
21,I,Peregrine Falcon,Falco Peregrinus,Linn.,
22,I,Hobby,Falco subbuteo,Linn.,
23,I,Red-footed Falcon,Falco rufipes,Bechst.,
24,I,Merlin,Falco Æsalon,Temm.,
25,I,Lead-coloured Falcon,Falco concolor,Temm.,
26,I,Kestrel,Falco Tinnunculus,Linn.,
27,I,Lesser Kestrel,Falco Tinnunculoides,Natt.,
28,I,Kite,Milvus vulgaris,Flem.,
29,I,Black Kite,Milvus ater,,
30,I,Swallow-tailed Kite,Nauclerus furcatus,Vig.,
31,I,Black-winged Kite,Elanus melanopterus,Leach.,
32,I,Marsh Harrier,Circus rufus,Briss.,
33,I,Hen Harrier,Circus cyaneus,Meyer.,
34,I,Pallid Harrier,Circus pallidus,Sykes.,
35,I,Ash-coloured Harrier,Circus cineraceus,Meyer.,
36,I,Barn Owl,Strix flammea,Linn.,
37,I,Great Horned or Eagle Owl,Bubo maximus,Sibb.,
38,I,Eastern Great Horned Owl,Bubo Ascalaphus,Savig.,
39,I,Long-eared Owl,Otus vulgaris,Flem.,
40,I,Short-eared Owl,Otus Brachyotus,Cuv.,
41,I,Scops-eared Owl,Scops Aldrovandi,Will. & Ray.,
42,I,Great Cinereous Owl,Surnia cinerea,,
43,I,Snowy Owl,Surnia Nyctea,Dum.,
44,I,Ural Owl,Surnia Uralensis,Dum.,
45,I,Hawk Owl,Surnia funerea,Dum.,
46,I,Barred Owl,Ulula nebulosa,Cuv.,
47,I,Tawny or Wood Owl,Syrnium Aluco,Savig.,
48,I,Little Owl,Noctua nudipes,Nils.,
49,I,Tengmalm's Owl,Noctua ? Tengmalmi,Selby.,
50,I,Sparrow Owl,Noctua passerina,,
51,II,European Goatsucker,Caprimulgus Europæus,Linn.,
52,II,Red-collared Goatsucker,Caprimulgus ruficollis,Temm.,
53,II,Swift,Cypselus murarius,Temm.,brace shares 53 with Swift/White-bellied Swift
53,II,White-bellied Swift,Cypselus alpinus,Temm.,brace shares 53 with Swift/White-bellied Swift
54,II,Chimney Swallow,Hirundo rustica,Linn.,
55,II,Rufous Swallow,Hirundo rufula,Temm.,
