plate,ku_id,ku_english,ku_sci
1,ku-gould:11439,Griffon Vulture,Gyps fulvus
2,ku-gould:11435,Cinereous Vulture,Aegypius monachus
3,ku-gould:11431,Egyptian Vulture,Neophron percnopterus
4,ku-gould:11427,Bearded Vulture,Gypaetus barbatus
5,ku-gould:11423,"Asian Imperial Eagle, Eastern Imperial Eagle",Aquila heliaca
6,ku-gould:11419,"Golden Eagle, Águila real, Aigle royal",Aquila chrysaetos
7,ku-gould:11415,Bonelli's Eagle,Aquila fasciata
8,ku-gould:11411,Lesser Spotted Eagle,Aquila pomarina
9,ku-gould:11407,Booted Eagle,Hieraaetus pennatus
10,ku-gould:11403,"White-tailed Eagle, Pygargue à queue blanch",Haliaeetus albicilla
11,ku-gould:11399,"Bald Eagle, Águila cabeza blanca, Pygargue à tête blanche",Haliaeetus leucocephalus
12,ku-gould:11395,"Osprey, Western Osprey, Balbuzard pêcheur, Gavilán pescador",Pandion haliaetus
13,ku-gould:11391,Short-toed Snake Eagle,Circaetus gallicus
14,ku-gould:11387,"Swainson's Hawk, Aguililla de Swainson, Buse de Swainson",Buteo swainsoni
15,ku-gould:11383,"Rough-legged Buzzard, Rough-legged Hawk, Roughleg, Aguililla ártica, Buse pattue",Buteo lagopus
16,ku-gould:11379,European Honey Buzzard,Pernis apivorus
17,ku-gould:11375,"Northern Goshawk, Autour des palombes, Gavilán azor",Accipiter gentilis
18,ku-gould:11371,Eurasian Sparrowhawk,Accipiter nisus
19,ku-gould:11367,"Faucon gerfaut, Gyrfalcon",Falco rusticolus
20,ku-gould:11363,Lanner Falcon,Falco biarmicus
21,ku-gould:11359,"Peregrine Falcon, Faucon pèlerin, faucon pélerin, Halcón peregrino",Falco peregrinus
22,ku-gould:11355,"Eurasian Hobby, Faucon hobereau, Northern Hobby",Falco subbuteo
23,ku-gould:11351,"Red-footed Falcon, Faucon kobez",Falco vespertinus
24,ku-gould:11347,Merlin,Falco columbarius aesalon
25,ku-gould:11343,Sooty Falcon,Falco concolor
26,ku-gould:11339,"Common Kestrel, Eurasian Kestrel, Faucon crécerelle",Falco tinnunculus
27,ku-gould:11335,Lesser Kestrel,Falco naumanni
28,ku-gould:11331,Red Kite,Milvus milvus
29,ku-gould:11327,"Black Kite, Milan noir",Milvus migrans
30,ku-gould:11323,"American Swallow-tailed Kite, Milan à queue fourchue, Milano tijereta, Swallow-tailed Kite",Elanoides forficatus
31,ku-gould:11319,"Black-shouldered Kite, Black-winged Kite",Elanus caeruleus
32,ku-gould:11315,"Western Marsh Harrier, Busard des roseaux",Circus aeruginosus
33,ku-gould:11311,"Northern Harrier, K123Busard Saint-Martin, Gavilán rastrero",Circus cyaneus
34,ku-gould:11307,Pallid Harrier,Circus macrourus
35,ku-gould:11303,Montagu's Harrier,Circus pygargus
36,ku-gould:11299,"Barn Owl, Common Barn-Owl, effraie de clochers, Lechuza de campanario",Tyto alba
37,ku-gould:11295,Eurasian Eagle-Owl,Bubo bubo
38,ku-gould:11291,Pharaoh Eagle-Owl,Bubo ascalaphus
39,ku-gould:11287,"Long-eared Owl, Búho cara café, hibou moyen-duc",Asio otus
40,ku-gould:11283,"Short-eared Owl, Búho cuerno corto, hibou des marais",Asio flammeus
41,ku-gould:11279,Eurasian Scops Owl,Otus scops
42,ku-gould:11275,"Great Gray Owl, chouette lapone, Great Grey Owl",Strix nebulosa
43,ku-gould:11271,"Snowy Owl, harfang des neiges",Bubo scandiacus
44,ku-gould:11267,Ural Owl,Strix uralensis
45,ku-gould:11263,"Northern Hawk Owl, Northern Hawk-Owl, chouette épervière,",Surnia ulula
46,ku-gould:11259,"Barred Owl, Búho listado, chouette rayée",Strix varia
47,ku-gould:11255,Tawny Owl,Strix aluco
48,ku-gould:11251,Little Owl,Athene noctua
49,ku-gould:11247,"Boreal Owl, nyctale de Tengmalm",Aegolius funereus
50,ku-gould:11243,Little Owl,Athene noctua
51,ku-gould:11221,European Nightjar,Caprimulgus europaeus
52,ku-gould:11217,Red-necked Nightjar,Caprimulgus ruficollis
53,ku-gould:11213,Common Swift,Apus apus
54,ku-gould:11209,"Barn Swallow, Golondrina tijereta, hirondelle rustique",Hirundo rustica
55,ku-gould:11205,Red-rumped Swallow,Hirundo daurica
56,ku-gould:11201,Eurasian Crag-Martin,Hirundo rupestris
57,ku-gould:11197,House Martin,Delichon urbicum
58,ku-gould:11193,"Bank Swallow, Golondrina ribereña, hirondelle de rivage, Sand Martin",Riparia riparia
59,ku-gould:11189,European Bee-easter,Merops apiaster
60,ku-gould:11185,European Roller,Coracias garrulus
61,ku-gould:11181,Common Kingfisher,Alcedo atthis ispida
62,ku-gould:11177,Pied Kingfisher,Ceryle rudis
63,ku-gould:11173,Pied Monarch,Arses kaupi
64,ku-gould:11169,Red-breasted Flycatcher,Ficedula parva
65,ku-gould:11165,"Gray-spotted Flycatcher, Gray-streaked Flycatcher, Grey-streaked Flycatcher",Muscicapa griseisticta
66,ku-gould:11161,"Great Grey Shrike, Northern Shrike, pie-grièche grise",Lanius excubitor
67,ku-gould:11157,"Great Grey Shrike, Northern Shrike, pie-grièche grise",Lanius excubitor
68,ku-gould:11153,Lesser Grey Shrike,Lanius minor
69,ku-gould:11149,Red-backed Shrike,Lanius collurio
70,ku-gould:11145,Woodchat Shrike,Lanius senator
71,ku-gould:11141,Eurasian Golden Oriole,Oriolus oriolus
72,ku-gould:11137,"Common Blackbird, Eurasian Blackbird, merle noir",Turdus merula
73,ku-gould:11133,Ring Ouzel,Turdus torquatus
74,ku-gould:11129,"American Robin, merle d'Amérique, Mirlo primavera",Turdus migratorius
75,ku-gould:11125,Red-throated Thrush,Turdus ruficollis
76,ku-gould:11121,"Fieldfare, grive litorne",Turdus pilaris
77,ku-gould:11117,Mistle Thrush,Turdus viscivorus
78,ku-gould:11113,Redwing,Turdus iliacus
79,ku-gould:11109,"Dusky Thrush, Naumann's Thrush",Turdus naumanni
80,ku-gould:11105,Pale Thrush,Turdus pallidus
81,ku-gould:11101,Scaly Thrush,Zoothera dauma
82,ku-gould:11097,Siberian Thrush,Zoothera sibirica
83,ku-gould:11093,White-throated Dipper,Cinclus cinclus
84,ku-gould:11089,White-throated Dipper,Cinclus cinclus
85,ku-gould:11085,Brown Dipper,Cinclus pallasii
86,ku-gould:11081,Chestnut-bellied Rock Thrush,Monticola rufiventris
87,ku-gould:11077,"Blue Rock Thrush, Blue Rock-Thrush",Monticola solitarius
88,ku-gould:11073,Black Wheatear,Oenanthe leucura
89,ku-gould:11069,Pied Wheatear,Oenanthe pleschanka
90,ku-gould:11065,"Northern Wheatear, Collalba norteña, traquet motteux",Oenanthe oenanthe
91,ku-gould:11061,Black-eared Wheatear,Oenanthe hispanica
92,ku-gould:11057,Black-eared Wheatear,Oenanthe hispanica
93,ku-gould:11053,Whinchat,Saxicola rubetra
94,ku-gould:11049,Stonecchat,Saxicola torquatus
95,ku-gould:11045,Common Redstart,Phoenicurus phoenicurus
96,ku-gould:11041,Black Redstart,Phoenicurus ochruros
97,ku-gould:11037,"Bluethroat, Bluethroats",Luscinia svecica
98,ku-gould:11033,European Robin,Erithacus rubecula
99,ku-gould:11029,Alpine Accentor,Prunella collaris
100,ku-gould:11025,Dunnock,Prunella modularis
101,ku-gould:11021,Siberian Accentor,Prunella montanella
102,ku-gould:11017,River Warbler,Locustella fluviatilis
103,ku-gould:11013,Common Grasshopper Warbler,Locustella naevia
104,ku-gould:11009,Savi's Warbler,Locustella luscinioides
105,ku-gould:11005,Pallas's Grasshopper Warbler,Locustella certhiola
106,ku-gould:11001,Great Reed Warbler,Acrocephalus arundinaceus
107,ku-gould:10997,Olive-tree Warbler,Hippolais olivetorum
108,ku-gould:10993,Great Reed Warbler,Acrocephalus arundinaceus
109,ku-gould:10989,Marsh Warbler,Acrocephalus palustris
110,ku-gould:10985,Sedge Warbler,Acrocephalus schoenobaenus
111,ku-gould:10981,Moustached Warbler,Acrocephalus melanopogon
112,ku-gould:10977,Rufous-tailed Scrub Robin,Cercotrichas galactotes
113,ku-gould:10973,Zitting Cisticola,Cisticola juncidis
114,ku-gould:10969,Cetti's Warbler,Cettia cetti
115,ku-gould:10965,Cetti's Warbler,Cettia cetti
116,ku-gould:10961,Common Nightingale,Luscinia megarhynchos
117,ku-gould:10957,Thrush Nightingale,Luscinia luscinia
118,ku-gould:10953,Siberian Rubythroat,Luscinia calliope
119,ku-gould:10949,Orphean Warbler,Sylvia hortensis
120,ku-gould:10945,Eurasian Blackcap,Sylvia atricapilla
121,ku-gould:10941,Garden Warbler,Sylvia borin
122,ku-gould:10937,Rüppell's Warbler,Sylvia rueppelli
123,ku-gould:10933,Sardinian Warbler,Sylvia melanocephala
124,ku-gould:10929,Subalpine Warbler,Sylvia cantillans
125,ku-gould:10925,Common Whitethroat,Sylvia curruca
126,ku-gould:10921,Spectacled Warbler,Sylvia conspicillata
127,ku-gould:10917,Marmora's Warbler,Sylvia sarda
128,ku-gould:10913,Barred Warbler,Sylvia nisoria
129,ku-gould:10909,Dartford Warbler,Sylvia undata
130,ku-gould:10905,"Dunlin, Bécasseau variable, Playero dorso rojo",Calidris alpina
131,ku-gould:10901,Willow Warbler,Phylloscopus trochilus
132,ku-gould:10897,Icterine Warbler,Hippolais icterina
133,ku-gould:10893,Melodious Warbler,Hippolais polyglotta
134,ku-gould:10889,Western Bonelli's Warbler,Phylloscopus bonelli
135,ku-gould:10885,Richard's Pipit,Anthus richardi
136,ku-gould:10881,Meadow Pipit,Anthus pratensis
137,ku-gould:10877,Nilgiri Pipit,Anthus nilghiriensis
138,ku-gould:10873,Water Pipit,Anthus spinoletta
139,ku-gould:10869,"Brown Tree-Pipit, Tree Pipit",Anthus trivialis
140,ku-gould:10865,"Red-throated Pipit, Bisbita garganta roja",Anthus cervinus
141,ku-gould:10861,"White Wagtail, Lavandera blanca",Motacilla alba
