volume,leaf,pencil,caption_english,caption_latin,orientation,note
I,30,,Griffon Vulture,Vultur fulvus (Linn.),portrait,no pencil number visible (expected 1 by sequence with plates 2-4 following)
I,34,2,Cinereus Vulture,Vultur cinereus (Linn.),portrait,
I,38,3,Egyptian Neophron,Neophron Percnopterus (Savig.),portrait,
I,42,4,Bearded Vulture or Lammer Geyer,Gypaetus barbatus (Storr),portrait,
I,46,5,Imperial Eagle,Aquila Imperialis,portrait,
I,50,6,Golden Eagle,Aquila chrysaeta (Briss.),portrait,
I,54,7,Bonelli's Eagle,Aquila Bonelli; Falco ___ (Temm.),portrait,caption has a blank Falco synonym line as engraved
I,58,8,Spotted Eagle,Aquila naevia (Meyer),portrait,
I,62,9,Booted Eagle,Aquila pennata (Steph.),portrait,
I,66,10,Sea Eagle,Haliaetus albicilla (Selby),portrait,
I,70,11,White Headed Eagle,Haliaetus leucocephalus (Savigny),portrait,
I,74,12,Osprey,Pandion haliaetus (Savig.),portrait,
I,78,13,Short-toed Eagle,Circaetus brachydactylus (Vieill.),portrait,
I,82,14,Common Buzzard,Buteo vulgaris (Bechst.),portrait,
I,86,15,Rough-legged Buzzard,Buteo Lagopus (Flem.),portrait,
I,90,16,Honey Buzzard,Pernis apivorus (Cuv.),portrait,
I,94,17,Goshawk,Astur Palumbarius (Bechst.),portrait,
I,98,18,Sparrow Hawk,Accipiter fringillarius (Ray); Falco nisus (Linn.),portrait,
I,102,19,Jer Falcon,Falco Islandicus (Lath.),portrait,
I,106,20,Lanner Falcon,Falco lanarius (Linn.),portrait,
I,110,21,Peregrine Falcon,Falco peregrinus (Linn.),portrait,
I,114,22,Hobby,Falco subbuteo (Linn.),portrait,
I,118,23,Red Footed Falcon,Falco rufipes (Bechst.),portrait,
I,122,24,Merlin,Falco aesalon (Temm.),portrait,
I,126,25,Lead-coloured Falcon,Falco concolor (Temm.),portrait,
I,130,26,Kestrel,Falco tinnunculus (Linn.),portrait,
I,134,27,Lesser Kestrel,Falco tinnunculoides (Natter),portrait,
I,138,28,Kite,Milvus vulgaris (Flem.),portrait,
I,142,29,Black Kite,Milvus ater,portrait,
I,146,30,Swallow Tailed Kite,Nauclerus furcatus (Vig.),portrait,
I,150,31,Black-winged Kite,Elanus melanopterus (Steph.),portrait,
I,154,32,Marsh Harrier,Circus rufus (Briss.),landscape,
I,158,33,Hen Harrier,Circus cyaneus (Meyer),landscape,
I,162,34,Pallid Harrier,Circus pallidus (Sykes),landscape,
I,166,35,Ash-coloured Harrier,Circus cineraceus (Meyer),landscape,
I,170,36,Barn Owl,Strix flammea (Linn.),portrait,
I,174,37,Eagle Owl,Bubo maximus (Sibbald),portrait,
I,178,38,Eastern Great Horned Owl,Bubo Ascalaphus,portrait,
I,182,39,Long Eared Owl,Strix otus (Linn.); Otus vulgaris (Flem.),portrait,
I,186,40,Short-eared Owl,Strix Brachyotos (Linn.); Otus Brachyotos (Cuv.),portrait,
I,190,41,Scops-eared Owl,Scops Aldrovandi (Will and Ray),portrait,
I,194,42,Great Cinereous Owl,Strix Lapponica (Retz.); ___ cinerea (Gmel.); Surnia cinerea,portrait,
I,198,43,Snowy Owl,Strix Nyctea (Linn.); Surnia Nyctea (Dum.),portrait,
I,202,44,Ural Owl,Surnia Uralensis,portrait,
I,206,45,Hawk Owl,Surnia funerea (Dumeril.); Strix funerea (Gmel.),portrait,
I,210,46,Barred Owl,Strix nebulosa (Linn.); Ulula ___ (Cuv.),portrait,
I,214,47,Tawny or Wood Owl,Strix aluco (Linn.); Surnia ___ (Dum.),portrait,
I,218,48,Little Owl,Strix nudipes (Nilsson); Noctua nudipes (Mihi),portrait,
I,222,49,Tengmalm's Owl,Strix Tengmalmi (Gmel.); Noctua Tengmalmi (Selb.),portrait,
I,226,50,Sparrow Owl,Strix passerina (Linn.); Noctua ___ (Mihi),portrait,
II,16,51,European Goatsucker,Caprimulgus Europaeus (Linn.),portrait,
II,20,52,Red-Collared Goatsucker,Caprimulgus ruficollis (Temm.),portrait,
II,24,53,1. Swift  2. White-Bellied Swift,1. Cypselus murarius (Temm.)  2. Cypselus Alpinus (Temm.),portrait,composite plate
II,28,54,Chimney Swallow,Hirundo rustica (Linn.),portrait,
II,32,55,Rufous Swallow,Hirundo rufula (Temm.),portrait,
II,36,56,Rock Martin,Hirundo rupestris (Linn.),portrait,
II,40,57,Martin,Hirundo urbica (Linn.),portrait,
II,44,58,Sand Martin,Hirundo riparia (Linn.),portrait,
II,48,59,Bee Eater,Merops Apiaster (Linn.),portrait,
II,52,60,Roller,Coracias garrula (Linn.),portrait,
II,56,61,Kingfisher,Alcedo ispida (Linn.),portrait,
II,60,62,Black And White Kingfisher,Alcedo rudis (Linn.),portrait,
II,64,63,1. Pied Flycatcher  2. White-Collared Flycatcher,1. Muscicapa luctuosa (Temm.)  2. Muscicapa albicollis (Temm.),portrait,composite plate
II,68,64,Red-Breasted Fly-Catcher,Muscicapa parva (Bechst.),portrait,
II,72,65,Spotted Flycatcher,Muscicapa grisola (Linn.),portrait,
II,76,66,Great Shrike,Lanius excubitor (Linn.); Collurio —— (Vig.),portrait,two scientific names given (dual genus/authority line under caption)
II,80,67,Great Grey Shrike,Lanius meridionalis (Temm.); Collurio —— (Vig.),portrait,two scientific names given (dual genus/authority line under caption)
II,84,68,Lesser Grey Shrike,Lanius minor (Linn.); Collurio —— (Vig.),portrait,"caption sits higher on page than usual, outside the standard bottom-crop window; two scientific names given"
II,88,69,Red-Backed Shrike,Lanius collurio (Linn.),portrait,
II,92,70,Woodchat,Lanius rufus (Briss.),portrait,
II,96,71,Golden Oriole,Oriolus Galbula (Linn.),portrait,
II,100,72,Black-Ouzel Or Blackbird,Merula vulgaris (Ray),portrait,
II,104,73,Ring Ouzel,Merula torquata (Briss.),portrait,
II,108,74,Migratory Ouzel,Merula migratoria (Swains.),portrait,
II,112,75,Black-Throated Thrush,Turdus atrogularis (Temm.),portrait,
II,116,76,Fieldfare,Turdus pilaris (Linn.),portrait,
II,120,77,Missel Thrush,Turdus viscivorus (Linn.),portrait,
II,124,78,1. Song Thrush  2. Redwing,1. Turdus musicus (Linn.)  2. Turdus Iliacus (Linn.),portrait,composite plate
II,128,79,Nauman's Thrush,Turdus Naumannii (Temm.),portrait,
II,132,80,Pallid Thrush,Turdus pallidus (Pall.),portrait,
II,136,81,White's Thrush,Turdus Whitei (Eyton),portrait,
II,140,82,Siberian Thrush,Turdus Sibericus (Pall.),portrait,
II,144,83,Water Ouzel Or Dipper,Cinclus aquaticus (Bechst.),landscape,caption and pencil read from the right-edge/bottom-left rotated crops
II,148,84,Black-Bellied Water Ouzel,Cinclus melanogaster (Temm.),portrait,caption sits higher on page than the standard bottom-crop window; confirmed from full leaf image
II,152,85,Pallas's Water Ouzel,Cinclus Pallasii (Temm.),portrait,
II,156,86,Rock Thrush,Petrocincla saxatilis (Vig.),portrait,
II,160,87,Blue Thrush,Petrocincla cyanus (Vig.),portrait,
II,164,88,Black Wheatear,Saxicola cachinnans (Temm.),portrait,
II,168,89,Pied Wheatear,Saxicola leucomela (Temm.),portrait,
II,172,90,Wheatear,Saxicola œnanthe (Bechst.),portrait,
II,176,91,Russet Wheatear,Saxicola Stapazina (Temm.),portrait,
II,180,92,Black-Eared Wheat Ear,Saxicola aurita (Temm.),portrait,
II,184,93,Whinchat,Saxicola rubetra (Bechst.),portrait,
II,188,94,Stone-Chat,Saxicola rubicola (Bechst.),portrait,
II,192,95,Redstart,Phœnicura ruticilla (Swains.),portrait,
II,196,96,Black Redstart,Phœnicura Tithys (Yard & Selby),portrait,authority abbreviation reads as cursive 'Yard' in the plate; likely intends Jardine & Selby but transcribed exactly as engraved
II,200,97,Blue Throated Warbler,Phœnicura Suecica,portrait,no authority given on plate
II,204,98,Robin,Erythaca rubecula (Swains.),portrait,
II,208,99,Alpine Accentor,Accentor Alpinus (Bechst.),portrait,
II,212,100,Hedge Accentor,Accentor modularis (Cuv.),portrait,
II,216,101,Mountain Accentor,Accentor montanellus (Cuv.),portrait,
II,220,102,Reed Locustelle,Locustella fluviatilis,portrait,no authority given on plate
II,224,103,Brake Locustelle,Locustella avicula (Ray),portrait,
II,228,104,Willow Locustelle,Locustella luscinoides; Sylvia luscinoides (Savi),portrait,two synonym names given on plate
II,232,105,Creeping Locustelle,Locustella certhiola,portrait,pencil digits faint
II,236,106,Great Sedge-Warbler,Salicaria turdoides (Selby),portrait,
II,240,107,Olive-Tree Salicaria,Salicaria Olivetorum (Strickl.),portrait,
II,244,108,Reed Warbler,Salicaria arundinacea (Selb.),portrait,
II,248,109,Marsh Warbler,Salicaria palustris,portrait,no authority given on plate
II,252,110,Sedge Warbler,Salicaria Phragmitis (Selby),portrait,
II,256,111,1. Moustached Warbler  2. Aquatic Warbler,1. Salicaria Melanopogon  2. Salicaria aquatica,portrait,composite plate; no authorities given
II,260,112,Rufous Sedge Warbler,Salicaria galactotes (Mihi),portrait,
II,264,113,Fantail Warbler,Salicaria Cisticola,portrait,no authority given on plate
II,268,114,Cetti Warbler,Sylvia Cetti (Marm.),portrait,
II,272,115,Silky Warbler,Salicaria? sericea; Sylvia sericea (Natt.),portrait,two synonym names given on plate; first genus abbreviation partly illegible
II,276,116,Nightingale,Philomela luscinia (Swains.),portrait,
II,280,117,Thrush Nightingale,Philomela turdoides (Blyth.),portrait,
II,284,118,Gorget Warbler,Calliope Lathamii,portrait,
II,288,119,Orpheus Warbler,Curruca Orphea (Mihi),portrait,
II,292,120,Blackcap,Curruca atricapilla (Briss.),portrait,
II,296,121,Garden Warbler,Curruca hortensis (Bechst.),portrait,"caption sits well above the standard bottom-crop window; pencil digit not clearly legible in any available crop, value inferred from sequence (120, then 122 on next plate)"
II,300,122,Ruppell's Warbler,Curruca Ruppellii,portrait,no authority given on plate
II,304,123,Sardinian Warbler,Curruca melanocephala (Bechst.),portrait,
II,308,124,Sub-Alpine Warbler,Curruca leucopogon (Mihi),portrait,
II,312,125,1. Common Whitethroat  2. Lesser Whitethroat,1. Curruca cinerea (Bechst.)  2. Curruca garrula (Bechst.),portrait,composite plate
II,316,126,Spectacle Warbler,Curruca conspicillata,portrait,no authority given on plate
II,320,127,Marmora's Warbler,Curruca sarda,portrait,no authority given on plate
II,324,128,Barred Warbler,Curruca nisoria,portrait,no authority given on plate
II,328,129,Dartford Warbler,Melizophilus provincialis (Leach),portrait,
II,332,130,Wren,Troglodytes Europæus (Cuv.),portrait,
II,336,131,1. Willow Wren  2. Chiff Chaff  3. Wood Wren,1. Sylvia trochilus (Gmelin)  2. Sylvia hippolais (Lath.)  3. Sylvia sibilatrix (Bechst.),portrait,composite plate (three birds)
II,340,132,Melodious Willow Wren,Sylvia Hippolais (Temm.),portrait,
II,344,133,Yellow Willow Wren,Sylvia Icterina (Vieill.),portrait,
II,348,134,Natterer's Warbler,Sylvia Nattereri (Temm.),portrait,
II,352,135,Richard's Pipit,Anthus Richardi (Vieill.),portrait,
II,356,136,Meadow Pipit,Anthus pratensis (Bechst.),portrait,
II,360,137,Tawny Pipit,Anthus rufescens (Temm.),portrait,
II,364,138,Rock Or Shore Pipit,Anthus aquaticus (Bechst.),portrait,
II,368,139,Tree Pipit,Anthus arboreus (Bechst.),portrait,
II,372,140,Red-Throated Pipit,Anthus rufogularis (Temm.),portrait,
II,376,141,Pied Wagtail,Motacilla alba (Linn.),portrait,same binomial (Motacilla alba) also printed for 'White Wagtail' on leaf 384; transcribed exactly as engraved on each plate
II,380,142,White-Winged Wagtail,Motacilla lugubris (Pall.),portrait,
II,384,143,White Wagtail,Motacilla alba (Linn.),portrait,same binomial (Motacilla alba) also printed for 'Pied Wagtail' on leaf 376; transcribed exactly as engraved on each plate
II,388,144,Yellow Headed Wagtail,Motacilla citreola (Pall.),portrait,
II,392,145,Yellow Wagtail,Motacilla flava (Ray),portrait,
II,396,146,Grey Headed Wagtail,Motacilla neglecta (Gould),portrait,
II,400,147,Grey Wagtail,Motacilla Boarula (Linn.),portrait,
II,404,148,1. Fire Crested Wren  2. Golden Crested Wren,1. Regulus ignicapillus (Brehm.)  2. Regulus vulgaris (Cuv.),portrait,composite plate
II,408,149,Dalmatian Regulus,Regulus modestus,portrait,no authority given on plate
III,14,150,Great Tit,Parus Major (Linn.),portrait,
III,18,151,1. Sombre Tit  2. Siberian Tit,Parus lugubris (Nat.)  Parus Sibericus (Gmel.),portrait,composite plate
III,22,152,Toupet Tit,Parus bicolor (Linn.),portrait,
III,26,153,Azure Tit,Parus cyanus (Pall.),portrait,
III,30,154,Blue Tit,Parus caeruleus (Linn.),portrait,
III,34,155,1. Cole Tit  2. Marsh Tit,Parus ater (Linn.)  Parus palustris (Linn.),portrait,composite plate; pencil faint but legible
III,38,156,Crested Tit,Parus cristatus (Linn.),portrait,
III,42,157,Long-tailed Tit,Parus caudatus (Linn.),portrait,
III,46,158,Bearded Tit,Parus biarmicus (Linn.)  Calamophilus ___ (Leach),portrait,"second line is a synonym/subgenus attribution, not a second bird"
III,50,159,Penduline Tit,Aegithalus pendulinus (Boje),portrait,
III,54,160,Waxen Chatterer,Bombycivora garrula (Temm.),portrait,
III,58,161,Black Lark,Alauda Tartarica (Pall.),portrait,
III,62,162,Calandra Lark,Alauda Calandra (Linn.),portrait,"caption/pencil sit higher on the page than usual; contact-sheet crop 1 appeared blank, verified via full leaf image"
III,66,163,Short-toed Lark,Alauda brachydactyla (Temm.),portrait,
III,70,164,Shore Lark,Alauda alpestris (Linn.),portrait,
III,74,165,Crested Lark,Alauda cristata (Linn.),portrait,
III,78,166,Sky Lark,Alauda arvensis (Linn.),portrait,
III,82,167,Wood Lark,Alauda arborea (Linn.),portrait,
III,86,168,Bifasciated Lark,Certhilauda bifasciata  Alauda bifasciata (Licht.),portrait,"two Latin name lines (genus placement note), single bird"
III,90,169,Lark-heeled Bunting,Plectrophanes lapponica (Selby),portrait,
III,94,170,Snow Bunting,Plectrophanes nivalis (Meyer),portrait,
III,98,171,Common Bunting,Emberiza miliaria (Linn.),portrait,
III,102,172,Black Headed Bunting,Emberiza melanocephala (Scopoli),portrait,
III,106,173,Yellow Bunting,Emberiza citrinella (Linn.),portrait,
III,110,174,Yellow-breasted Bunting,Emberiza aureola (Pall.),portrait,
III,114,175,Cirl Bunting,Emberiza cirlus (Linn.),portrait,
III,118,176,Ortolan Bunting,Emberiza hortulana (Linn.),portrait,
III,122,177,Rustic Bunting,Emberiza rustica (Gmel.),portrait,
III,126,178,Lesbian Bunting,Emberiza Lesbia (Gmel.),portrait,
III,130,179,Meadow Bunting,Emberiza cia (Linn.),portrait,
III,134,180,Pine Bunting,Emberiza pithyornus (Pall.),portrait,
III,138,181,Cretzschmar's Bunting,Emberiza caesia (Cretzschm.),portrait,
III,142,182,Marsh Bunting,Emberiza palustris (Sav.),portrait,
III,146,183,Reed Bunting,Emberiza schoeniculus (Linn.),portrait,
III,150,184,1. House Sparrow  2. Tree Sparrow,Pyrgita domestica (Cuv.)  Pyrgita montana (Cuv.),portrait,composite plate; matches given ground truth (leaf 150 = plate 184)
III,154,185,1. Spanish Sparrow  2. Alpine Sparrow,Pyrgita Hispaniolensis (Cuv.)  Pyrgita Cisalpina (Cuv.),portrait,composite plate
III,158,186,Doubtful Sparrow,Pyrgita Petronia,portrait,"no authority given after the Latin name; pencil read upside-down in the crop but legible as 186, consistent with the 184-185-187 sequence"
III,162,187,Chaffinch,Fringilla Coelebs (Linn.),portrait,
III,166,188,Mountain or Bramble Finch,Fringilla montifringilla (Linn.),portrait,
III,170,189,Snow Finch,Fringilla nivalis (Linn.),portrait,
III,174,190,Winter Finch,Fringilla hyemalis (Linn.),portrait,
III,178,191,Common or Brown Linnet,Linaria Cannabina (Swains.),portrait,
III,182,192,Mountain Linnet or Twite,Linaria montana (Ray),portrait,
III,186,193,Mealy Redpole,Linaria canescens (Mihi),portrait,
III,190,194,Lesser Redpole,Linaria minor (Ray),portrait,
III,194,195,Serin Finch,Serinus flavescens,portrait,no authority in parentheses after the Latin name
III,198,196,Goldfinch,Carduelis elegans (Steph.),portrait,matches given ground truth (leaf 198 = plate 196)
III,202,197,Siskin or Aberdevine,Carduelis spinus (Steph.),portrait,
III,206,198,Citril Finch,Carduelis citrinella,portrait,no authority in parentheses after the Latin name
III,210,199,Hawfinch,Coccothraustes vulgaris (Briss.),portrait,
III,214,200,Green Grosbeak,Coccothraustes chloris (Flem.),portrait,
III,218,201,Parrot Crossbill,Loxia pityopsittacus (Bechst.),portrait,
III,222,202,Common Crossbill,Loxia curvirostra (Linn.),portrait,"pencil written in an unusually looped cursive style but reads 202, consistent with the surrounding sequence"
III,226,203,White Winged Cross Bill,Loxia leucoptera (Gmell.),portrait,
III,230,204,Pine Grosbeak,Corythus enucleator (Cuv.),portrait,
III,234,205,Siberian Grosbeak,Corythus longicauda (Lath.),portrait,
III,238,206,Scarlet Grosbeak,Erythrospiza erythrina (Bonaparte),portrait,
