plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
1,,Griffon Vulture,Vultur fulvus,Gyps fulvus,Eurasian Griffon,eurgri1,eBird/Clements 2025,Q177856,2480389,5D1987CEE4005AA2,Gyps fulvus_Eurasian Griffon,,high,yes,Vultur fulvus Linn. = Gyps fulvus (Eurasian Griffon); same species,General List (vol. I); engraved caption on the leaf; crosswalk
2,,Cinereous Vulture,Vultur cinereus,Aegypius monachus,Cinereous Vulture,cinvul1,eBird/Clements 2025,Q168677,5229165,158BDC90F07DF1D2,Aegypius monachus_Cinereous Vulture,,high,yes,Vultur cinereus Linn. is the Cinereous (Monk) Vulture,General List (vol. I); engraved caption on the leaf; crosswalk
3,,Egyptian Neophron,Neophron Percnopterus,,,,,,,,,,high,no,"Neophron Percnopterus = Neophron percnopterus, which is not a BirdNET V2.4 label; blank",General List (vol. I); crosswalk
4,,Bearded Vulture or Læmmer-geyer,Gypaëtus barbatus,,,,,,,,,,high,no,"Gypaëtus barbatus = Gypaetus barbatus, which is not a BirdNET V2.4 label; blank",General List (vol. I); crosswalk
5,,Imperial Eagle,Aquila Imperialis,Aquila heliaca,Imperial Eagle,impeag1,eBird/Clements 2025,Q168976,2480500,469DCF57248A1C69,Aquila heliaca_Imperial Eagle,,judged,yes,"Split: Imperial Eagle (A. heliaca) and Spanish Eagle (A. adalberti, described 1860). Gould's text gives SE Europe/Hungary/Turkey, so heliaca is probable, but an Iberian specimen would be adalberti; confirm on the plate (adalberti has white leading edge to the wing) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); engraved caption on the leaf; crosswalk
6,,Golden Eagle,Aquila chrysaëta,Aquila chrysaetos,Golden Eagle,goleag,eBird/Clements 2025,Q41181,2480506,5F8E7CA845BD413F,Aquila chrysaetos_Golden Eagle,,high,yes,"Aquila chrysaëta Briss. = Aquila chrysaetos (Golden Eagle); same species, older binomial",General List (vol. I); engraved caption on the leaf; crosswalk
7,,Bonelli's Eagle,Aquila Bonelli,,,,,,,,,,high,no,"Aquila Bonelli = Aquila fasciata, which is not a BirdNET V2.4 label; blank",General List (vol. I); crosswalk
8,,Spotted Eagle,Aquila nævia,,,,,,,,,,low,no,"Aquila naevia then covered both Greater (Clanga clanga) and Lesser Spotted Eagle (C. pomarina, split by Brehm 1831); cannot tell which the plate shows without the figure; blank",General List (vol. I); crosswalk
9,,Booted Eagle,Aquila pennata,Hieraaetus pennatus,Booted Eagle,booeag1,eBird/Clements 2025,Q182971,2480685,4B8CC2853542FFED,Hieraaetus pennatus_Booted Eagle,,high,yes,"Aquila pennata Steph. = Hieraaetus pennatus (Booted Eagle); same species, older binomial",General List (vol. I); engraved caption on the leaf; crosswalk
10,,Sea Eagle,Haliaëtus albicilla,Haliaeetus albicilla,White-tailed Eagle,whteag,eBird/Clements 2025,Q25438,2480449,5A3D91D3254A568D,Haliaeetus albicilla_White-tailed Eagle,,high,yes,Haliaëtus albicilla Selby. = Haliaeetus albicilla (White-tailed Eagle); same species,General List (vol. I); engraved caption on the leaf; crosswalk
11,,White-headed Eagle,Haliaëtus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,baleag,eBird/Clements 2025,Q127216,2480446,FED3756C12CF67FA,Haliaeetus leucocephalus_Bald Eagle,,high,yes,Haliaëtus leucocephalus Savig. = Haliaeetus leucocephalus (Bald Eagle); same species,General List (vol. I); engraved caption on the leaf; crosswalk
12,,Osprey,Pandion haliaëtus,Pandion haliaetus,Osprey,osprey,eBird/Clements 2025,Q25332,2480726,5BCF1891777ED3D3,Pandion haliaetus_Osprey,,high,yes,"Pandion haliaëtus Savig. = Pandion haliaetus (Osprey); same species, older binomial",General List (vol. I); engraved caption on the leaf; crosswalk
13,,Short-toed Eagle,Circaëtus brachydactylus,Circaetus gallicus,Short-toed Snake-Eagle,shteag1,eBird/Clements 2025,Q170251,2480666,8372FFBAA4080FBB,Circaetus gallicus_Short-toed Snake-Eagle,,high,yes,Circaetus brachydactylus Vieill. is a synonym of C. gallicus (Short-toed Eagle),General List (vol. I); engraved caption on the leaf; crosswalk
14,,Common Buzzard,Buteo vulgaris,Buteo buteo,Common Buzzard,combuz1,eBird/Clements 2025,Q25385,2480537,3C6D4915490BC8CD,Buteo buteo_Common Buzzard,,high,yes,Buteo vulgaris Bechst. = Common Buzzard B. buteo,General List (vol. I); engraved caption on the leaf; crosswalk
15,,Rough-legged Buzzard,Buteo Lagopus,Buteo lagopus,Rough-legged Hawk,rolhaw,eBird/Clements 2025,Q26407,2480524,90B13ACF984D0DDF,Buteo lagopus_Rough-legged Hawk,,high,yes,Rough-legged Buzzard; BirdNET calls it Rough-legged Hawk,General List (vol. I); engraved caption on the leaf; crosswalk
16,,Honey Buzzard,Pernis apivorus,Pernis apivorus,European Honey-buzzard,euhbuz1,eBird/Clements 2025,Q170466,2480420,ED5A7E8F6EDBB78E,Pernis apivorus_European Honey-buzzard,,high,yes,Pernis apivorus Cuv. = Pernis apivorus (European Honey-buzzard); same species,General List (vol. I); engraved caption on the leaf; crosswalk
17,,Goshawk,Astur palumbarius,Astur gentilis,Eurasian Goshawk,norgos1,eBird/Clements 2025,Q25353,2480589,,Accipiter gentilis_Northern Goshawk,,high,yes,"Astur palumbarius = Goshawk (Falco palumbarius Linn.). Split since (Eurasian Astur gentilis vs American A. atricapillus); BirdNET V2.4 keeps one Accipiter gentilis Northern Goshawk, which Gould's European bird is; BirdNET's Northern Goshawk is split by eBird into American and Eurasian Goshawk",General List (vol. I); engraved caption on the leaf; crosswalk
18,,Sparrow Hawk,Accipiter fringillarius,Accipiter nisus,Eurasian Sparrowhawk,eurspa1,eBird/Clements 2025,Q25380,2480637,DB376A66278ED21E,Accipiter nisus_Eurasian Sparrowhawk,,high,yes,Accipiter fringillarius Ray = Sparrowhawk A. nisus,General List (vol. I); engraved caption on the leaf; crosswalk
