plate,title,legend,image_url,notes
1,Wild Turkey,Male. | American Cane. | Miegia macrosperma.,https://www.audubon.org/sites/default/files/boa_plates/plate-1-wild-turkey.jpg,
2,Yellow-billed Cuckoo,Male. 1. Female. 2. | Papaw Tree. Porcelia triloba.,https://www.audubon.org/sites/default/files/boa_plates/plate-2-yellow-billed-cuckoo.jpg,
3,Prothonotary Warbler,Male. 1. Female. 2. | Cane Vine.,https://www.audubon.org/sites/default/files/boa_plates/plate-3-prothonotary-warbler.jpg,
4,Purple Finch,"Male, 1, 2. Female, 3. | Red Larch - Larix americana.",https://www.audubon.org/sites/default/files/boa_plates/plate-4-purple-finch.jpg,
5,Bonaparte's Flycatcher,,https://www.audubon.org/sites/default/files/boa_plates/plate-5-bonapartes-flycatcher.jpg,
6,Great American Hen & Young,,https://www.audubon.org/sites/default/files/boa_plates/plate-6-great-american-hen-young.jpg,
7,"Purple Grakle, or Common Crow Blackbird","Male, 1. Female, 2. | Maize or Indian Corn. Zea Mays.",https://www.audubon.org/sites/default/files/boa_plates/plate-7-purple-grakle.jpg,
8,White throated Sparrow,1. Male 2. Female | Plant Cornus Florida - Vulgo Dog Wood.,https://www.audubon.org/sites/default/files/boa_plates/plate-8-white-throated-sparrow.jpg,
9,Selby's Fly catcher,,https://www.audubon.org/sites/default/files/boa_plates/plate-9-selbys-fly-catcher.jpg,
10,Brown Lark,1. Male. 2. Female.,https://www.audubon.org/sites/default/files/boa_plates/plate-10-brown-lark.jpg,
11,Bird of Washington,,https://www.audubon.org/sites/default/files/boa_plates/plate-11-bird-washington.jpg,
12,Baltimore Oriole,"Adult Male, 1. Male two years old, 2. Female, 3. | Tulip Tree Liriodendron tulipifera.",https://www.audubon.org/sites/default/files/boa_plates/plate-12-baltimore-oriole.jpg,
13,Snow Bird,1. Male. ..... 2. Female. | Plant Vulgo. Great Swamp Ash.,https://www.audubon.org/sites/default/files/boa_plates/plate-13-snow-bird.jpg,
14,Prairie Warbler,1. Male.... 2. Female. | Plant Vulgo. Buffaloe Grass.,https://www.audubon.org/sites/default/files/boa_plates/plate-14-prairie-warbler.jpg,
15,Blue Yellow back Warbler,"(1. Male. 2. F.) | Plant, Vulgo. Louisiana Flag.",https://www.audubon.org/sites/default/files/boa_plates/plate-15-blue-yellow-backed-warbler.jpg,
16,Great-footed Hawk,"Male, 1. Female, 2. | Green-winged Teal and Gadwal.",https://www.audubon.org/sites/default/files/boa_plates/plate-16-great-footed-hawk.jpg,
