plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
1,,Wild Turkey,,Meleagris gallopavo,Wild Turkey,wiltur,eBird/Clements 2025,Q26844,9606290,9C5ED06A51A9FFEE,Meleagris gallopavo_Wild Turkey,,high,,,Featherframe havell.yaml; plate title from audubon.org
2,,Yellow-billed Cuckoo,,Coccyzus americanus,Yellow-billed Cuckoo,yebcuc,eBird/Clements 2025,Q852265,2496287,0CF12F8155708DC8,Coccyzus americanus_Yellow-billed Cuckoo,,high,,,Featherframe havell.yaml; plate title from audubon.org
3,,Prothonotary Warbler,,Protonotaria citrea,Prothonotary Warbler,prowar,eBird/Clements 2025,Q206535,2489871,4D08EE7E80D2E275,Protonotaria citrea_Prothonotary Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
4,,Purple Finch,,Haemorhous purpureus,Purple Finch,purfin,eBird/Clements 2025,Q27075782,7804446,B4EE123DE4241449,Haemorhous purpureus_Purple Finch,,high,,,Featherframe havell.yaml; plate title from audubon.org
5,,Bonaparte's Flycatcher,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
6,,Great American Hen & Young,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
7,,"Purple Grakle, or Common Crow Blackbird",,Quiscalus quiscula,Common Grackle,comgra,eBird/Clements 2025,Q1424486,2484155,8BBB3255C6B7EE91,Quiscalus quiscula_Common Grackle,,high,,"Audubon's “Purple Grakle, or Common Crow Blackbird” is today's Common Grackle",Featherframe havell.yaml; plate title from audubon.org
8,,White-throated Sparrow,,Zonotrichia albicollis,White-throated Sparrow,whtspa,eBird/Clements 2025,Q754880,5231140,39BD9FF20A9613C4,Zonotrichia albicollis_White-throated Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
9,,Selby's Fly catcher,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
10,,Brown Titlark,,Anthus rubescens,American Pipit,amepip,eBird/Clements 2025,Q871527,2490263,CDA2E56B,Anthus rubescens_American Pipit,,high,,Audubon's “Brown Titlark” is today's American Pipit,Featherframe havell.yaml; plate title from audubon.org
11,,Bird of Washington,,,,,,,,,,,none,,Bird of Washington: not a valid species,
12,,Baltimore Oriole,,Icterus galbula,Baltimore Oriole,balori,eBird/Clements 2025,Q805774,2484340,E4B3332D6979E6BD,Icterus galbula_Baltimore Oriole,,high,,,Featherframe havell.yaml; plate title from audubon.org
13,,Snow Bird,,Junco hyemalis,Dark-eyed Junco,daejun,eBird/Clements 2025,Q525818,2492010,F8AFCAC715964EEB,Junco hyemalis_Dark-eyed Junco,,high,,Audubon's “Snow Bird” is today's Dark-eyed Junco,Featherframe havell.yaml; plate title from audubon.org
14,,Prairie Warbler,,Setophaga discolor,Prairie Warbler,prawar,eBird/Clements 2025,Q27075937,7341789,E36325FA08B46EEF,Setophaga discolor_Prairie Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
15,,Blue Yellow-backed Warbler,,Setophaga americana,Northern Parula,norpar,eBird/Clements 2025,Q27075910,6093345,41062654293EB4E1,Setophaga americana_Northern Parula,,high,,Audubon's “Blue Yellow-backed Warbler” is today's Northern Parula,Featherframe havell.yaml; plate title from audubon.org
16,,Great-footed Hawk,,Falco peregrinus,Peregrine Falcon,perfal,eBird/Clements 2025,Q30535,2481047,C7F1C08CB3F7F2DA,Falco peregrinus_Peregrine Falcon,,high,,Audubon's “Great-footed Hawk” is today's Peregrine Falcon,Featherframe havell.yaml; plate title from audubon.org
17,,Carolina Pigeon,,Zenaida macroura,Mourning Dove,moudov,eBird/Clements 2025,Q750027,2495347,00124D987C95811B,Zenaida macroura_Mourning Dove,,high,,Audubon's “Carolina Pigeon” is today's Mourning Dove,Featherframe havell.yaml; plate title from audubon.org
18,,Bewick's Wren,,Thryomanes bewickii,Bewick's Wren,bewwre,eBird/Clements 2025,Q997457,2493843,603194D371801AC0,Thryomanes bewickii_Bewick's Wren,,high,,,Featherframe havell.yaml; plate title from audubon.org
19,,Louisiana Water Thrush,,Parkesia motacilla,Louisiana Waterthrush,louwat,eBird/Clements 2025,Q27075882,6093862,7AB0F3A4A62BD4BF,Parkesia motacilla_Louisiana Waterthrush,,high,,Audubon's “Louisiana Water Thrush” is today's Louisiana Waterthrush,Featherframe havell.yaml; plate title from audubon.org
20,,Blue-winged Yellow Warbler,,Vermivora cyanoptera,Blue-winged Warbler,buwwar,eBird/Clements 2025,Q25679108,6093846,B617FE7DF96090DD,Vermivora cyanoptera_Blue-winged Warbler,,high,,Audubon's “Blue-winged Yellow Warbler” is today's Blue-winged Warbler,Featherframe havell.yaml; plate title from audubon.org
21,,Mocking Bird,,Mimus polyglottos,Northern Mockingbird,normoc,eBird/Clements 2025,Q829683,5231677,7EFF698DC564CF69,Mimus polyglottos_Northern Mockingbird,,high,,Audubon's “Mocking Bird” is today's Northern Mockingbird,Featherframe havell.yaml; plate title from audubon.org
22,,Purple Martin,,Progne subis,Purple Martin,purmar,eBird/Clements 2025,Q1062485,2489129,ACB9D1C6AB7F3371,Progne subis_Purple Martin,,high,,,Featherframe havell.yaml; plate title from audubon.org
23,,Yellow-breasted Warbler,,Geothlypis trichas,Common Yellowthroat,comyel,eBird/Clements 2025,Q281555,2489670,BA4C8A02839564AC,Geothlypis trichas_Common Yellowthroat,,high,,Audubon's “Yellow-breasted Warbler” is today's Common Yellowthroat,Featherframe havell.yaml; plate title from audubon.org
24,,Roscoe's Yellow-throat,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
25,,Song Sparrow,,Melospiza melodia,Song Sparrow,sonspa,eBird/Clements 2025,Q842599,2492196,A5F09E0521019564,Melospiza melodia_Song Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
26,,Carolina Parrot,,Conuropsis carolinensis,Carolina Parakeet,carpar,eBird/Clements 2025,Q629204,2479449,90002523402DE0BF,,,high,,Audubon's “Carolina Parrot” is today's Carolina Parakeet,Featherframe havell.yaml; plate title from audubon.org
27,,Red headed Woodpecker,,Melanerpes erythrocephalus,Red-headed Woodpecker,rehwoo,eBird/Clements 2025,Q578174,2478130,448D91B74CBC772E,Melanerpes erythrocephalus_Red-headed Woodpecker,,high,,Audubon's “Red headed Woodpecker” is today's Red-headed Woodpecker,Featherframe havell.yaml; plate title from audubon.org
28,,Vireo Solitarius,,Vireo solitarius,Blue-headed Vireo,buhvir,eBird/Clements 2025,Q1586476,2487456,95DB0943652956D1,Vireo solitarius_Blue-headed Vireo,,high,,Audubon's “Vireo Solitarius” is today's Blue-headed Vireo,Featherframe havell.yaml; plate title from audubon.org
29,,Towee Bunting,,Pipilo erythrophthalmus,Eastern Towhee,eastow,eBird/Clements 2025,Q1541137,2491205,6090278A61F63C13,Pipilo erythrophthalmus_Eastern Towhee,,high,,Audubon's “Towee Bunting” is today's Eastern Towhee,Featherframe havell.yaml; plate title from audubon.org
30,,Vigors Vireo,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
31,,White-headed Eagle,,Haliaeetus leucocephalus,Bald Eagle,baleag,eBird/Clements 2025,Q127216,2480446,FED3756C12CF67FA,Haliaeetus leucocephalus_Bald Eagle,,high,,Audubon's “White-headed Eagle” is today's Bald Eagle,Featherframe havell.yaml; plate title from audubon.org
32,,Black-billed Cuckoo,,Coccyzus erythropthalmus,Black-billed Cuckoo,bkbcuc,eBird/Clements 2025,Q19027,2496286,41E9F54BDA04ACBA,Coccyzus erythropthalmus_Black-billed Cuckoo,,high,,,Featherframe havell.yaml; plate title from audubon.org
